BlueDriver Data Log
Jul 10, 2018 5:59:02 PM
Time (s),Calculated Engine Load Value (%),Vehicle Speed (MPH),Engine RPM (rpm),Absolute Throttle Position (%)
0.0,,,,
0.8,,0,1315,8.4
1.6,50.7,0,1055,8.2
2.4,55.8,0,1036,7.9
3.2,54.8,0,924,7.2
4.0,54.1,0,862,7.6
4.8,52.4,1,858,6.2
5.6,49.9,1,844,5.9
6.4,48.7,1,837,5.8
7.2,48.2,1,844,5.6
8.0,55.2,1,1176,8.0
8.8,57.8,4,1349,10.1
9.6,58.5,5,1373,10.8
10.4,59.9,7,1426,11.8
11.2,65.7,7,1405,12.4
12.0,66.8,10,1387,12.5
12.8,68.4,12,1386,12.8
13.6,71.8,14,1376,13.8
14.4,75.1,15,1367,14.8
15.2,78.1,16,1425,15.9
16.0,77.8,17,1446,15.5
16.8,76.5,19,1437,15.3
17.6,75.2,20,1408,14.8
18.4,69.2,21,1338,13.7
19.2,69.5,21,1249,12.9
20.0,57.4,22,1249,9.3
20.8,40.6,22,1274,7.1
21.6,44.6,22,1451,9.6
22.4,56.3,22,1612,11.9
23.2,64.3,22,1767,14.4
24.0,67.3,23,1618,14.8
24.8,75.1,24,1374,14.5
25.6,74.9,25,1325,14.5
26.4,75.7,25,1332,14.5
27.2,75.3,26,1337,14.5
28.0,72.7,26,1327,13.0
28.8,66.8,27,1263,11.5
29.6,65.7,27,1237,11.0
30.4,64.6,27,1237,11.1
31.2,66.9,27,1255,11.9
32.0,69.4,28,1287,12.5
32.8,71.4,29,1316,12.9
33.6,69.7,29,1314,12.9
34.4,69.1,30,1312,12.6
35.2,68.2,30,1312,12.8
36.0,66.1,30,1312,11.9
36.8,64.3,30,1252,11.2
37.6,63.7,30,1230,10.7
38.4,60.8,31,1208,10.4
39.2,59.4,31,1189,9.9
40.0,58.0,31,1178,9.8
40.8,57.6,31,1175,9.5
41.6,54.4,31,1163,8.8
42.4,51.5,31,1121,7.7
43.2,46.8,31,1083,7.1
44.0,42.5,31,1107,6.3
44.8,30.4,30,1322,6.2
45.6,25.8,30,1415,5.7
46.4,24.3,30,1335,5.1
47.2,24.1,30,1282,4.7
48.0,22.4,29,1265,4.7
48.8,22.4,28,1299,4.7
49.6,23.5,27,1300,5.4
50.4,27.0,27,1326,5.8
51.2,29.1,27,1287,5.6
52.0,32.6,26,1362,5.5
52.8,36.8,26,1400,7.0
53.6,38.6,26,1411,7.7
54.4,40.6,26,1351,7.8
55.2,45.7,25,1173,7.8
56.0,47.5,25,1128,7.6
56.8,47.6,25,1112,7.7
57.6,45.7,25,1132,7.3
58.4,38.2,25,1372,7.7
59.2,39.2,25,1435,8.2
60.0,43.7,25,1465,8.7
60.8,43.2,25,1471,9.0
61.6,47.1,24,1231,8.6
62.4,45.8,24,1159,6.7
63.2,35.8,24,1212,6.3
64.0,30.7,23,1206,5.5
64.8,26.6,22,1183,5.0
65.6,25.5,20,1163,4.7
66.4,25.1,18,1134,4.7
67.2,25.9,16,1106,4.7
68.0,28.5,14,1055,4.7
68.8,33.2,11,1313,5.0
69.6,24.5,9,1169,4.8
70.4,28.5,7,1012,4.7
71.2,33.3,4,974,4.8
72.0,69.0,2,1206,10.5
72.8,78.0,4,1949,20.0
73.6,79.0,8,2219,21.1
74.4,80.4,10,2383,21.0
75.2,61.7,12,2008,16.7
76.0,61.0,15,1742,13.1
76.8,51.1,16,1594,8.2
77.6,31.4,16,1575,7.0
78.4,28.8,17,1398,6.3
79.2,35.3,16,1037,5.8
