BlueDriver Data Log
Jul 16, 2018 11:08:48 AM
Time (s),Barometric Pressure (kPa),Vehicle Speed (MPH),Absolute Load Value (%),Ambient Air Temperature (°C),Engine Coolant Temperature (°C),Catalyst Temperature Bank 1 - Sensor 1 (°C),Engine RPM (rpm),Fuel Level Input (%)
0.0,,,,,,,,
1.2,,0,36.1,20,32,4.0,812,49.8
2.4,102,0,37.0,20,32,4.0,812,49.8
3.6,102,0,38.0,20,32,4.0,835,49.8
4.8,102,0,36.0,20,33,4.0,837,49.5
6.0,102,2,37.5,20,33,4.0,1148,49.7
7.2,102,4,48.6,20,33,4.0,1308,49.5
8.4,102,6,52.3,20,34,4.0,1405,49.4
9.6,102,11,56.3,20,34,4.0,1407,49.1
10.8,102,13,59.6,20,34,4.0,1351,49.0
12.0,102,15,64.7,20,35,4.0,1358,48.8
13.2,102,19,64.5,20,35,4.0,1349,48.6
14.4,102,19,39.1,20,35,4.0,1337,48.6
15.6,102,19,37.6,20,36,4.0,1495,48.6
16.8,102,20,42.4,20,36,4.0,1552,48.6
18.0,102,20,33.4,20,36,4.0,1479,48.5
19.2,102,20,29.3,20,37,4.0,1322,48.3
20.4,102,18,35.5,20,37,4.0,1162,48.6
21.6,102,16,37.7,20,38,4.0,1024,48.9
22.8,102,12,34.5,20,38,4.0,741,49.3
24.0,102,8,43.7,20,38,4.0,845,49.4
25.2,102,5,42.9,20,39,4.0,868,49.7
26.4,102,5,48.5,20,39,4.0,1580,49.8
27.6,102,7,66.7,20,39,4.0,2124,49.6
28.8,102,11,66.6,20,40,4.0,2225,49.2
30.0,102,15,65.8,20,40,4.0,1878,48.8
31.2,102,17,32.4,20,40,12.7,1555,48.6
32.4,102,19,26.7,20,41,21.6,1463,48.6
33.6,102,19,28.9,20,41,26.3,1344,48.6
34.8,102,18,26.1,20,42,32.4,1370,48.6
36.0,102,16,20.8,20,42,35.8,1184,48.6
37.2,102,11,22.2,20,42,36.0,1134,48.8
38.4,102,7,24.5,20,43,38.9,968,49.4
39.6,102,5,38.2,20,43,43.0,1219,49.8
40.8,102,5,63.6,20,43,49.7,1901,49.8
42.0,102,10,66.7,20,43,60.3,2287,49.8
43.2,102,14,71.2,20,43,75.1,1999,49.6
44.4,102,18,74.3,20,43,93.7,1861,49.4
45.6,101,21,74.5,20,44,110.2,1932,49.4
46.8,101,23,73.9,20,44,122.8,2010,49.3
48.0,101,26,69.7,20,45,135.8,1997,49.0
49.2,101,27,62.1,20,45,152.1,1825,49.0
50.4,101,28,53.8,20,45,166.4,1630,49.0
51.6,101,29,43.3,20,46,172.6,1522,49.0
52.8,102,29,31.8,20,47,176.1,1360,49.3
54.0,102,28,25.6,20,47,179.4,1283,49.4
55.2,102,27,23.4,20,47,176.5,1223,49.4
56.4,102,26,23.4,20,48,179.5,1173,49.7
57.6,102,26,28.8,20,48,180.0,1162,49.8
58.8,102,26,32.4,20,48,183.2,1385,49.8
60.0,102,26,26.6,20,49,190.3,1363,49.8
61.2,102,26,25.1,20,49,192.0,1264,49.8
62.4,102,26,26.5,20,49,194.6,1259,50.0
63.6,102,24,25.3,20,49,196.0,1268,50.2
64.8,102,21,25.1,20,49,198.1,1257,50.3
66.0,102,21,25.6,20,49,201.6,1246,50.6
67.2,102,20,25.9,20,50,204.0,1231,50.6
68.4,102,20,25.9,20,50,205.1,1215,50.6
69.6,102,19,25.9,20,50,208.0,1230,50.6
70.8,102,19,39.6,20,50,211.0,1389,50.7
72.0,102,19,52.3,20,50,217.6,1718,51.0
73.2,101,20,60.6,20,51,223.6,1578,51.0
74.4,101,21,70.0,20,51,231.4,1451,50.9
75.6,101,23,71.4,20,51,239.0,1540,50.6
76.8,101,25,72.0,20,51,250.1,1578,50.6
78.0,101,26,71.1,20,52,263.2,1587,50.5
79.2,101,28,67.3,20,52,271.1,1547,50.2
80.4,101,30,57.7,20,52,277.3,1398,50.2
81.6,101,30,40.4,20,52,282.3,1282,50.2
