BlueDriver Data Log
Jul 20, 2018 10:05:06 AM
Time (s),Barometric Pressure (kPa),Vehicle Speed (MPH),Absolute Load Value (%),Ambient Air Temperature (°C),Intake Air Temperature (°C),Engine Coolant Temperature (°C),Catalyst Temperature Bank 1 - Sensor 1 (°C),Engine RPM (rpm),Fuel Level Input (%)
0.0,,,,,,,,,
1.3,,5,39.9,23,25,42,,,
2.6,101,7,40.6,23,25,42,123.4,1262,44.8
3.9,101,9,39.2,23,25,42,129.4,1361,44.5
5.2,101,10,26.8,23,25,42,132.0,1381,44.3
6.5,101,10,21.3,23,25,42,133.4,1252,44.3
7.8,101,8,20.4,23,25,42,137.0,1148,44.7
9.1,101,5,21.4,23,25,43,139.9,1140,44.7
10.4,101,3,26.0,23,25,43,140.0,943,44.7
11.7,101,2,33.5,23,26,43,140.0,907,44.7
13.0,101,1,36.2,23,26,43,140.0,871,44.7
14.3,101,2,37.0,23,26,43,140.0,966,44.7
15.6,101,2,36.9,23,26,43,143.8,1040,44.7
16.9,101,3,40.9,23,26,44,144.0,1357,44.7
18.2,101,5,38.4,23,26,44,149.6,1593,44.7
19.5,101,8,40.2,23,26,44,154.5,1676,44.5
20.8,101,9,48.7,23,26,45,160.9,1486,44.3
22.1,101,10,50.9,23,26,45,168.8,1339,44.3
23.4,101,13,49.4,23,26,45,174.1,1392,44.1
24.7,101,15,48.2,23,26,46,179.3,1412,43.9
26.0,101,16,49.4,23,26,46,185.5,1409,43.8
27.3,101,17,45.9,23,26,46,190.9,1393,43.5
28.6,100,18,37.5,23,26,46,196.0,1369,43.5
29.9,99,19,34.5,23,26,47,198.2,1329,43.5
31.2,100,19,27.2,23,26,47,204.0,1225,43.5
32.5,101,19,20.2,23,26,47,204.0,1271,43.5
33.8,101,18,20.3,23,26,48,203.9,1176,43.5
35.1,101,16,24.1,23,26,48,207.6,1175,43.5
36.4,101,12,27.1,23,26,48,208.0,1129,43.7
37.7,101,9,29.0,23,26,49,208.0,1112,43.9
39.0,101,7,29.1,23,26,49,209.7,1092,43.9
40.3,101,7,28.4,23,26,49,212.0,1091,44.0
41.6,101,7,38.5,23,26,49,213.0,1267,44.3
42.9,101,9,47.1,23,26,50,217.1,1573,43.9
44.2,101,11,49.2,23,26,50,224.5,1770,43.9
45.5,101,12,46.2,23,26,50,228.2,1425,43.5
46.8,101,14,43.0,23,26,50,232.2,1291,43.2
48.1,101,15,42.0,23,26,50,235.9,1276,43.1
49.4,101,17,42.9,16,26,51,239.9,1263,43.1
50.7,101,18,40.7,-39,26,51,242.0,1245,42.9
52.0,101,18,40.8,-22,26,51,244.4,1225,42.7
53.3,101,19,39.9,23,26,52,251.7,1225,42.7
54.6,101,20,37.8,23,25,52,252.0,1215,42.7
55.9,101,21,38.3,23,25,52,255.1,1195,42.5
57.2,101,22,28.2,23,25,52,258.8,1202,42.4
58.5,101,21,28.2,23,25,53,257.3,1227,42.6
59.8,101,21,24.5,23,25,53,258.5,1251,42.7
61.1,101,21,26.1,23,25,53,260.0,1262,42.7
62.4,101,19,26.2,23,25,53,260.0,1257,42.7
63.7,101,17,25.9,23,25,53,260.0,1237,43.1
65.0,101,15,25.9,23,25,54,259.4,1209,43.4
66.3,101,13,25.9,23,25,54,262.7,1192,43.7
67.6,101,12,25.9,23,25,54,264.0,1276,43.9
68.9,101,12,44.7,23,25,54,266.9,1444,43.9
70.2,101,14,57.2,23,25,54,272.8,1558,43.9
71.5,101,16,58.9,23,25,55,276.5,1335,43.9
72.8,101,17,54.5,23,25,55,280.2,1300,43.5
74.1,101,19,37.9,23,25,55,284.0,1202,43.5
75.4,101,20,21.9,23,25,55,283.9,1223,43.5
76.7,101,19,24.4,23,25,55,284.0,1089,43.5
78.0,101,19,26.4,23,25,56,283.5,1087,43.5
79.3,101,19,25.3,23,25,56,284.0,1227,43.5
80.6,101,18,24.2,23,25,56,287.0,1211,43.5
81.9,101,16,27.4,23,25,56,288.0,1197,43.7
83.2,101,13,26.7,23,25,57,288.0,1218,44.1
84.5,101,7,28.3,23,25,57,288.0,1137,44.4
85.8,101,5,31.8,23,25,57,287.2,938,44.7
87.1,101,2,39.1,23,25,57,284.0,875,45.1
88.4,101,1,49.4,23,25,57,284.3,1636,44.8
89.7,101,5,57.0,23,25,57,291.3,1973,44.5
91.0,101,10,53.5,23,25,57,294.7,1880,44.3
92.3,101,14,61.1,23,25,58,298.3,1699,44.1
93.6,101,16,58.0,23,25,58,304.1,1718,43.9
