BlueDriver Data Log
Jul 22, 2018 2:52:58 PM
Time (s),Barometric Pressure (kPa),Vehicle Speed (MPH),Absolute Load Value (%),Ambient Air Temperature (°C),Intake Air Temperature (°C),Engine Coolant Temperature (°C),Catalyst Temperature Bank 1 - Sensor 1 (°C),Engine RPM (rpm),Fuel Level Input (%)
0.0,,,,,,,,,
1.3,,0,35.7,26,41,63,28.0,787,
2.6,102,0,35.9,26,41,63,28.0,787,39.6
3.9,102,0,35.5,24,39,63,28.0,787,39.6
5.2,102,0,36.1,24,39,63,28.0,787,39.9
6.5,102,1,36.0,24,39,63,28.0,795,40.0
7.8,102,1,35.3,24,39,64,28.0,810,40.0
9.1,102,2,34.7,24,39,64,28.0,821,40.0
10.4,102,1,35.6,24,39,64,28.0,812,39.9
11.7,102,0,35.1,24,39,65,28.0,857,39.6
13.0,102,0,41.4,24,39,65,28.0,1057,39.6
14.3,102,2,44.9,24,39,65,28.0,1317,39.6
15.6,102,4,38.6,24,39,65,28.0,1371,39.3
16.9,102,5,29.6,24,39,65,28.0,1282,39.2
18.2,102,5,26.4,24,39,65,28.0,1112,39.2
19.5,102,5,30.8,24,39,66,28.0,1252,39.2
20.8,102,5,30.1,24,39,66,28.0,1290,38.9
22.1,102,5,25.1,24,39,67,28.0,1221,38.8
23.4,102,4,27.6,24,39,67,28.0,1078,38.8
24.7,102,3,30.6,24,39,67,28.0,928,38.9
26.0,102,1,33.5,24,39,67,28.0,847,39.2
27.3,102,0,34.5,24,39,67,28.0,837,39.2
28.6,102,0,34.1,24,39,68,28.0,839,39.2
29.9,102,1,33.4,24,39,68,28.0,850,38.8
31.2,102,1,32.7,24,39,68,28.0,824,38.8
32.5,102,1,32.2,24,39,68,28.0,833,38.8
33.8,102,0,32.1,24,39,68,28.0,837,38.8
35.1,102,0,31.5,24,39,68,28.0,882,38.8
36.4,102,0,33.7,24,39,69,28.0,916,38.8
37.7,102,1,33.7,24,39,69,28.0,892,38.8
39.0,102,0,33.7,24,39,69,28.0,861,38.8
40.3,102,0,33.4,24,39,69,28.0,850,38.8
41.6,102,0,32.9,24,39,69,28.0,837,38.8
42.9,102,0,32.9,24,39,69,28.0,837,38.8
44.2,102,0,32.9,24,39,69,28.0,837,38.8
45.5,102,0,33.5,24,39,70,28.0,821,38.8
46.8,102,0,40.8,24,39,70,28.0,1003,38.6
48.1,102,2,41.5,24,39,70,28.0,1227,38.4
49.4,102,3,33.5,24,39,70,28.0,1176,38.4
50.7,102,2,32.2,24,39,70,28.0,870,38.4
52.0,102,2,38.6,24,39,70,28.0,825,38.4
53.3,102,4,46.8,24,39,70,28.0,1388,38.4
54.6,102,7,49.3,24,39,71,37.7,1521,38.2
55.9,102,10,53.0,24,39,71,46.2,1481,38.0
57.2,102,13,49.1,24,39,71,53.4,1370,37.8
58.5,102,15,22.0,24,39,71,58.3,1260,37.7
59.8,102,14,24.2,24,39,71,62.3,1192,38.1
61.1,102,11,25.1,24,39,72,66.5,1162,38.5
62.4,102,10,25.9,24,39,72,68.0,1150,38.9
63.7,102,6,25.9,24,39,72,70.3,1114,39.2
65.0,102,5,45.5,24,39,72,76.3,1412,39.3
66.3,102,8,48.6,24,39,72,83.8,1699,39.5
67.6,102,11,46.6,23,39,72,92.3,1400,39.2
68.9,102,13,36.3,23,39,73,101.0,1202,39.2
70.2,102,14,27.0,23,38,73,104.4,1137,39.6
71.5,102,13,24.9,23,38,73,108.0,1104,39.9
72.8,102,12,25.9,23,38,74,107.8,1129,40.0
74.1,102,12,25.9,23,38,74,111.2,1137,40.0
75.4,102,11,25.9,23,38,75,114.9,1129,40.0
76.7,102,11,25.9,23,38,75,116.0,1103,40.2
78.0,102,9,26.7,23,38,75,118.5,1087,40.4
79.3,102,6,27.5,23,38,75,120.0,1073,40.6
80.6,102,5,37.1,23,38,75,122.3,1384,40.8
81.9,102,7,42.5,23,38,75,129.3,1663,40.7
83.2,102,8,47.8,23,38,75,137.2,1470,40.4
84.5,101,11,44.1,23,38,75,141.8,1273,40.0
85.8,101,13,35.8,23,38,76,148.0,1100,40.0
87.1,102,13,29.4,23,38,76,148.3,1216,40.0
88.4,102,12,24.8,23,38,76,151.8,1126,40.3
89.7,102,12,25.9,23,38,76,155.3,1109,40.6
91.0,102,11,25.9,23,38,76,156.0,1112,40.8
92.3,102,10,25.9,23,38,77,158.1,1218,40.8
93.6,102,10,37.3,23,38,77,161.9,1440,40.8
94.9,102,11,42.5,23,38,77,165.9,1540,40.8
96.2,101,12,40.2,23,38,77,169.8,1457,40.7
97.5,102,12,28.2,23,38,77,173.4,1346,40.4
98.8,102,11,24.1,23,38,77,176.0,1156,40.8
100.1,102,10,29.4,23,38,77,176.9,1232,40.8
101.4,102,11,33.3,23,38,77,180.6,1512,40.8
102.7,102,12,33.7,23,38,77,184.3,1489,40.8
104.0,102,12,29.3,23,38,78,188.3,1215,40.5
105.3,102,12,23.2,23,38,78,191.7,1218,40.4
106.6,102,12,24.4,23,38,78,192.0,1160,40.4
107.9,102,12,25.3,23,38,78,192.0,1137,40.4
109.2,102,11,25.9,23,38,78,194.8,1105,40.4
