BlueDriver Data Log
Jul 25, 2018 8:19:42 AM
Time (s),Engine Coolant Temperature (°C),Catalyst Temperature Bank 1 - Sensor 1 (°C),Fuel Level Input (%),Barometric Pressure (kPa),Vehicle Speed (MPH),Absolute Load Value (%),Ambient Air Temperature (°C),Engine RPM (rpm),Relative Throttle Position (%),Control Module Voltage (V),Intake Air Temperature (°C),Absolute Throttle Position (%)
0.0,,,,,,,,,,,,
2.7,31,8.0,100.0,101,0,31.4,19,1287,1.2,14.414,21,7.1
5.4,32,8.0,100.0,101,0,27.0,19,1280,1.4,14.454,21,5.9
8.1,33,8.0,100.0,101,0,25.1,19,1274,1.6,14.400,21,5.9
10.8,34,8.0,100.0,101,0,25.1,19,1266,1.6,14.413,21,5.9
13.5,35,8.0,100.0,101,0,26.4,19,1275,1.4,14.438,21,6.5
16.2,36,8.0,100.0,101,0,39.7,19,1001,1.2,13.795,21,8.1
18.9,36,8.0,100.0,101,1,36.3,19,988,2.1,13.643,21,7.1
21.6,37,16.0,100.0,101,6,51.6,19,1440,5.0,13.385,21,11.0
24.3,38,27.8,100.0,101,11,30.9,19,1315,0.6,13.200,21,6.3
27.0,39,37.8,100.0,101,7,30.3,19,1179,1.2,13.066,21,6.0
29.7,39,47.9,100.0,101,5,39.8,19,1453,3.5,12.960,21,10.5
32.4,39,64.0,100.0,101,11,57.6,19,1735,8.7,13.027,21,15.3
35.1,41,89.8,100.0,101,18,70.2,19,1517,12.3,13.040,21,18.4
37.8,41,117.2,100.0,101,21,71.6,19,1581,13.0,13.205,21,17.2
40.5,42,144.9,100.0,101,25,60.5,19,1501,8.6,13.383,21,14.3
43.2,43,166.5,100.0,101,28,40.6,19,1498,5.9,13.550,21,12.0
45.9,43,176.4,100.0,101,28,22.4,19,1369,0.4,13.562,21,5.7
48.6,44,181.7,100.0,101,27,21.5,19,1287,0.0,13.714,21,5.6
51.3,45,187.4,100.0,101,25,26.9,19,1263,0.4,13.702,21,6.3
54.0,45,193.1,100.0,101,21,25.2,19,1217,0.1,13.760,21,5.9
56.7,46,196.0,100.0,101,15,21.2,19,1209,0.4,13.760,21,5.2
59.4,47,200.0,100.0,101,10,22.6,19,1106,0.1,13.825,21,5.1
62.1,47,200.0,100.0,101,4,27.2,19,948,0.4,13.841,21,4.8
64.8,48,200.0,100.0,101,0,30.9,19,885,0.4,13.758,21,5.1
67.5,48,197.9,100.0,101,0,36.3,19,869,0.4,13.680,21,5.9
70.2,48,196.0,100.0,101,0,36.0,19,842,0.4,13.680,21,5.5
72.9,49,194.0,100.0,101,0,32.8,19,824,0.4,13.680,23,5.5
75.6,49,192.0,100.0,101,0,25.7,19,806,0.4,13.703,23,4.3
78.3,49,192.0,100.0,101,0,25.1,19,789,0.4,13.706,23,4.3
81.0,50,189.7,100.0,101,0,27.1,19,816,0.4,13.759,23,4.3
83.7,50,188.0,100.0,101,0,32.2,19,855,0.2,13.732,23,5.5
86.4,50,186.1,100.0,101,0,35.4,19,825,0.4,13.747,23,5.2
89.1,51,184.0,100.0,101,0,32.4,19,798,0.4,13.730,23,5.1
91.8,51,182.6,100.0,101,0,24.7,19,787,0.4,13.544,23,4.5
94.5,51,182.7,100.0,101,3,35.2,19,1327,5.1,13.760,23,9.2
97.2,52,195.5,100.0,101,10,47.6,19,1485,5.0,13.680,23,10.6
99.9,52,205.0,100.0,101,15,58.1,19,1303,7.4,13.732,23,12.1
102.6,53,216.8,100.0,101,19,66.3,19,1458,9.1,13.824,23,15.2
105.3,53,236.2,100.0,100,22,68.5,19,1472,10.8,13.575,23,16.5
108.0,54,255.9,100.0,100,25,64.8,19,1438,10.7,13.368,23,15.3
110.7,54,274.4,100.0,100,27,58.8,19,1433,8.6,13.101,23,14.1
113.4,55,289.1,100.0,101,29,46.1,19,1356,2.5,13.096,23,7.7
116.1,56,289.2,100.0,101,28,18.8,19,1200,0.4,13.040,23,4.7
118.8,56,280.2,100.0,101,25,24.2,19,1200,0.2,13.040,23,5.6
121.5,57,276.0,100.0,101,21,30.4,19,1105,0.3,13.040,23,6.3
124.2,57,278.8,100.0,101,20,29.4,19,1332,0.0,13.040,23,6.6
126.9,57,280.0,100.0,101,21,22.5,19,1398,0.4,13.040,23,5.0
129.6,57,282.1,100.0,101,22,18.6,19,1267,0.4,13.040,23,4.7
132.3,57,284.0,100.0,101,22,18.6,19,1225,0.4,13.040,23,4.7
135.0,58,282.4,100.0,101,19,18.8,19,1212,0.4,12.905,23,4.4
137.7,58,283.4,100.0,101,17,22.3,19,1264,2.0,13.040,23,5.7
140.4,58,290.8,100.0,101,18,55.1,19,1858,8.7,13.040,23,15.1
143.1,58,303.2,100.0,101,22,64.1,19,1399,8.7,12.960,23,13.7
145.8,59,312.4,100.0,101,25,59.6,19,1331,7.3,12.960,23,12.7
148.5,60,325.2,100.0,100,29,58.2,19,1338,7.5,13.040,23,11.9
151.2,60,339.3,100.0,99,31,31.0,19,1296,3.1,13.078,23,8.1
153.9,61,336.0,100.0,101,31,22.0,19,1151,0.5,13.033,23,4.6
156.6,61,336.9,100.0,99,31,38.2,19,1196,2.1,12.999,23,7.1
159.3,61,348.5,100.0,100,33,52.3,19,1305,5.8,13.115,23,10.5
162.0,61,359.9,100.0,99,34,45.6,19,1293,3.6,13.040,23,9.8
164.7,62,364.0,100.0,99,34,42.4,19,1165,2.7,13.040,23,7.5
167.4,62,371.7,100.0,99,35,33.9,19,1179,1.3,13.040,23,6.7
170.1,63,366.4,100.0,101,33,18.7,19,1198,0.3,13.040,23,4.3
