BlueDriver Data Log
Jul 27, 2018 4:13:19 PM
Time (s),Engine Coolant Temperature (°C),Catalyst Temperature Bank 1 - Sensor 1 (°C),Fuel Level Input (%),Barometric Pressure (kPa),Vehicle Speed (MPH),Absolute Load Value (%),Ambient Air Temperature (°C),Engine RPM (rpm),Relative Throttle Position (%),Control Module Voltage (V),Intake Air Temperature (°C),Absolute Throttle Position (%)
0.0,,,,,,,,,,,,
2.7,,,,,,,,,,,,
5.4,,,,,,,,,,,,
8.1,,,,,,,,,,,,
10.8,,,,,,,,,,,,
13.5,,,,,,,,,,,,
16.2,,,,,,,,,,,,
18.9,,,,,,,,,,,,
21.6,,58.9,100.0,101,15,59.3,,1353,6.7,13.184,28,
24.3,44,77.0,100.0,101,19,34.9,28,1377,2.0,13.083,28,7.4
27.0,46,85.7,100.0,101,19,25.9,28,1237,0.3,12.979,28,6.1
29.7,46,91.0,100.0,101,17,25.9,28,1209,0.3,12.970,28,5.9
32.4,47,99.9,100.0,101,11,27.1,28,1132,0.0,13.009,28,5.9
35.1,47,101.4,100.0,101,2,36.1,28,854,0.3,12.960,28,5.9
37.8,48,114.0,100.0,101,4,55.9,28,1763,9.7,12.960,28,15.1
40.5,48,136.4,100.0,101,14,66.4,28,1993,13.0,12.929,28,19.0
43.2,49,162.9,100.0,101,22,70.3,28,1856,14.7,12.880,28,20.0
45.9,50,188.5,100.0,101,26,58.2,28,1808,9.5,12.955,28,15.5
48.6,51,205.8,100.0,101,27,36.8,28,1446,0.4,12.960,28,7.1
51.3,52,207.7,100.0,101,26,27.5,28,1276,0.4,12.999,28,6.1
54.0,52,202.5,100.0,101,22,26.1,28,1187,0.4,12.979,28,5.5
56.7,53,203.1,100.0,101,19,26.7,28,1259,0.1,13.029,28,5.5
59.4,53,204.3,100.0,101,12,26.4,28,1128,0.2,12.960,28,5.5
62.1,54,206.5,100.0,101,3,33.9,28,839,0.4,13.027,28,5.5
64.8,54,204.0,100.0,101,0,34.9,28,850,0.4,13.044,28,5.5
67.5,54,204.1,100.0,101,0,44.9,28,1241,3.2,13.032,28,6.9
70.2,54,210.9,100.0,101,8,54.0,28,1557,7.3,13.009,28,12.9
72.9,55,224.4,100.0,101,13,45.7,28,1347,3.9,12.965,28,8.7
75.6,56,228.0,100.0,101,16,24.0,28,1295,0.1,12.942,28,5.5
78.3,56,232.0,100.0,101,15,24.3,28,1223,0.4,12.923,28,5.5
81.0,57,233.8,100.0,101,14,25.1,28,1200,0.4,12.960,28,5.5
83.7,57,236.0,100.0,101,12,25.5,28,1166,0.4,12.960,28,5.5
86.4,57,236.0,100.0,101,6,26.7,28,1125,0.4,12.960,28,5.5
89.1,58,236.0,100.0,101,3,31.0,28,980,0.4,12.886,28,5.5
91.8,58,235.7,100.0,101,0,33.9,28,863,0.4,12.926,28,5.5
94.5,59,232.0,100.0,101,0,32.8,28,860,0.4,12.880,28,5.5
97.2,59,229.3,100.0,101,0,32.2,28,837,0.4,12.872,28,5.2
99.9,59,228.0,100.0,101,0,31.7,28,832,0.4,12.816,28,5.1
102.6,59,227.7,100.0,101,0,30.8,28,817,0.4,12.880,28,5.1
105.3,59,224.0,100.0,101,0,30.5,28,825,0.4,12.880,29,4.9
108.0,60,221.5,100.0,101,0,29.8,28,812,0.4,12.878,29,4.7
110.7,60,216.8,100.0,101,0,30.3,28,812,0.4,12.835,29,4.7
113.4,60,216.0,100.0,101,0,30.0,28,812,0.4,12.912,29,4.7
116.1,60,215.8,100.0,101,0,29.8,28,812,0.4,12.835,29,4.7
118.8,61,212.0,100.0,101,0,29.8,28,812,0.4,12.758,29,4.7
121.5,61,209.2,100.0,101,0,29.8,28,809,0.4,12.880,29,4.7
124.2,61,207.9,100.0,101,0,29.8,28,807,0.4,12.880,29,4.7
126.9,61,204.0,100.0,101,0,30.4,28,812,0.4,12.917,29,4.7
129.6,61,202.6,100.0,101,0,29.8,28,812,0.4,12.960,29,4.7
132.3,62,200.0,100.0,101,0,29.8,28,812,0.4,12.885,29,4.7
135.0,62,200.0,100.0,101,0,29.8,28,806,0.4,12.880,29,4.7
137.7,62,196.0,100.0,101,0,29.8,28,810,0.4,12.928,29,4.7
140.4,62,196.0,100.0,101,0,29.8,28,812,0.4,12.960,29,4.7
143.1,63,193.1,100.0,101,0,29.8,28,812,0.4,12.958,29,4.7
145.8,63,192.0,100.0,101,0,29.8,28,812,0.4,12.909,29,4.7
148.5,63,188.0,100.0,101,0,29.8,28,812,0.4,12.960,29,4.7
151.2,63,188.0,100.0,101,0,29.8,28,800,0.4,12.884,29,4.7
153.9,63,184.4,100.0,101,0,29.8,28,806,0.4,12.854,29,4.7
156.6,64,184.0,100.0,101,0,29.8,28,812,0.4,12.885,29,4.7
159.3,64,184.0,100.0,101,0,29.8,28,802,0.4,12.902,30,4.7
162.0,64,181.4,100.0,101,0,29.8,28,812,0.4,12.880,30,4.7
164.7,65,180.0,100.0,101,0,29.8,28,812,0.4,12.960,30,4.7
167.4,65,178.3,100.0,101,0,29.8,28,812,0.4,12.895,30,4.7
170.1,65,179.2,100.0,101,2,39.5,28,1127,2.9,12.864,30,10.2
172.8,65,187.0,100.0,101,9,52.7,28,1507,6.8,12.896,30,11.9
175.5,66,200.8,100.0,101,16,60.2,28,1372,8.5,12.960,30,13.5
178.2,66,216.6,100.0,101,22,61.8,28,1445,10.0,12.960,30,15.1
180.9,67,237.7,100.0,101,26,60.9,28,1382,9.0,12.960,30,13.4
183.6,67,253.9,100.0,100,28,58.3,28,1319,8.2,12.901,30,12.2
186.3,68,273.9,100.0,100,31,59.4,28,1362,6.4,12.960,29,10.3
189.0,68,277.7,100.0,101,32,27.0,28,1190,0.4,12.962,29,6.2
191.7,69,280.3,100.0,101,31,42.0,28,1145,3.4,12.990,29,8.1
194.4,69,293.3,100.0,101,32,44.8,28,1219,5.3,12.924,29,12.3
197.1,69,303.1,100.0,101,34,51.3,28,1250,3.6,12.960,29,8.2
199.8,70,313.5,100.0,101,34,49.3,28,1230,4.8,12.745,29,10.6
202.5,70,322.6,100.0,101,36,54.0,28,1372,7.4,12.960,29,11.8
205.2,70,334.0,100.0,101,37,45.2,28,1316,6.1,12.960,29,10.6
207.9,71,342.8,100.0,101,39,48.0,28,1261,5.9,12.960,29,10.1
210.6,71,352.1,100.0,101,40,51.2,28,1310,5.9,12.960,29,11.1
213.3,71,359.2,100.0,101,40,49.6,28,1280,5.3,12.960,29,11.2
216.0,72,366.9,100.0,101,40,46.7,28,1255,0.7,12.903,28,8.3
218.7,72,371.6,100.0,101,40,29.8,28,1200,0.6,12.997,28,6.1
221.4,73,365.4,100.0,101,37,29.5,28,1223,0.7,12.883,28,6.2
224.1,73,367.9,100.0,101,37,31.8,28,1255,3.0,12.960,28,8.7
226.8,73,376.0,100.0,101,39,54.8,28,1351,7.1,13.030,28,11.5
229.5,73,387.1,100.0,100,39,40.9,28,1300,4.3,12.960,28,10.8
232.2,74,389.3,100.0,99,39,37.6,28,1183,0.4,12.904,28,5.9
234.9,74,392.0,100.0,99,38,37.0,28,1150,0.3,13.038,28,6.2
237.6,75,396.2,100.0,99,37,51.2,28,1219,3.3,12.916,28,9.9
240.3,75,404.0,100.0,99,38,52.0,28,1333,7.3,12.960,28,11.8
243.0,75,415.2,100.0,99,39,51.5,28,1383,6.2,12.960,28,10.9
245.7,75,421.0,100.0,99,39,41.3,28,1241,3.7,12.911,28,7.5
248.4,75,422.2,100.0,100,38,26.6,28,1171,0.5,12.809,28,5.4
251.1,75,420.0,100.0,100,37,33.8,28,1105,0.7,12.824,28,6.3
253.8,75,420.2,100.0,99,35,35.3,28,1103,0.2,12.960,28,6.0
256.5,75,424.0,100.0,100,33,27.3,28,1423,0.0,13.019,28,6.1
259.2,75,424.0,100.0,101,31,24.4,28,1332,0.4,12.960,28,6.3
261.9,75,424.0,100.0,101,24,20.5,28,1328,0.4,12.960,28,5.1
264.6,75,422.8,100.0,101,14,18.1,28,1312,0.4,12.960,28,4.9
267.3,75,418.0,100.0,101,6,23.3,28,900,0.4,12.889,28,5.2
270.0,75,412.7,100.0,101,4,33.9,28,983,0.8,12.971,28,5.9
272.7,75,408.6,100.0,101,6,46.3,27,1677,5.7,12.999,28,12.6
275.4,76,414.1,100.0,101,12,54.8,27,1708,9.0,12.882,27,12.4
278.1,76,419.1,100.0,101,16,42.8,27,1443,3.0,12.960,27,10.1
280.8,76,419.6,100.0,101,15,26.5,27,1181,0.4,12.960,27,5.1
283.5,76,416.0,100.0,101,11,20.2,27,1143,0.4,12.960,27,4.8
286.2,77,408.2,100.0,101,5,20.2,27,766,1.9,12.935,27,4.1
288.9,77,409.5,100.0,100,6,44.6,27,1900,6.5,12.982,28,12.0
291.6,77,412.0,100.0,100,12,50.1,27,1422,7.1,12.969,28,9.3
294.3,77,412.0,100.0,101,15,27.7,27,1298,2.0,13.009,28,5.8
297.0,77,410.7,100.0,101,14,25.0,27,1252,0.3,12.905,28,5.5
299.7,78,408.0,100.0,101,12,24.8,27,1184,0.0,12.960,28,5.8
302.4,78,404.1,100.0,101,11,38.5,27,1457,2.5,12.960,28,7.1
305.1,78,409.3,100.0,99,14,51.4,27,1456,7.5,12.960,28,12.6
307.8,78,409.3,100.0,101,16,37.4,27,1295,0.8,12.960,28,5.6
310.5,78,408.0,100.0,101,13,35.8,27,1435,3.4,12.960,28,7.1
313.2,78,412.0,100.0,99,15,54.5,27,1398,7.9,12.960,28,11.6
315.9,78,414.4,100.0,100,18,54.0,27,1327,6.9,13.037,28,11.9
318.6,78,416.0,100.0,101,20,28.4,27,1205,0.4,12.997,28,5.5
321.3,78,414.7,100.0,101,19,23.7,27,1246,0.6,12.984,28,5.9
324.0,79,412.0,100.0,101,18,25.0,27,1272,0.4,12.960,28,6.0
326.7,79,411.8,100.0,101,16,24.8,27,1207,0.4,12.960,28,5.3
329.4,79,407.6,100.0,101,12,20.8,27,1151,0.4,12.960,28,4.3
332.1,79,403.4,100.0,101,7,16.3,27,927,0.4,12.998,28,3.4
334.8,79,397.4,100.0,101,5,51.7,27,1783,7.5,12.980,28,9.0
337.5,79,402.3,100.0,99,12,54.1,27,1568,9.0,12.960,28,13.8
340.2,79,407.7,100.0,100,17,43.5,27,1315,5.5,12.924,28,11.3
342.9,79,407.2,100.0,101,19,31.5,27,1105,0.4,12.894,27,5.5
345.6,80,404.0,100.0,101,17,24.3,27,1231,0.3,12.960,27,5.5
348.3,80,403.5,100.0,101,13,24.9,27,1204,0.0,12.960,27,5.5
351.0,80,398.6,100.0,101,9,25.6,27,1075,0.3,12.839,27,4.7
353.7,81,396.0,100.0,100,6,36.7,27,1703,5.0,12.800,27,7.9
356.4,81,399.5,100.0,99,11,44.2,27,1575,6.4,12.924,27,10.9
359.1,81,400.0,100.0,100,16,43.0,27,1243,4.7,12.881,27,8.8
361.8,81,400.0,100.0,101,17,32.6,27,1079,2.3,12.960,27,6.4
364.5,81,396.5,100.0,101,17,24.3,27,969,0.1,13.027,27,5.5
367.2,81,396.0,100.0,101,17,22.5,27,1216,0.2,12.960,27,5.5
369.9,81,395.2,100.0,101,17,22.7,27,1288,0.3,12.912,27,5.0
372.6,81,392.0,100.0,101,17,17.1,27,1182,0.4,12.958,27,4.3
375.3,81,387.9,100.0,101,16,16.5,27,1044,0.4,12.960,27,3.7
378.0,81,384.0,100.0,101,13,17.2,27,982,0.4,12.896,27,4.1
380.7,81,380.5,100.0,101,12,23.8,27,1057,0.4,12.900,27,4.7
383.4,81,379.3,100.0,101,12,23.5,27,1085,0.4,12.960,27,5.2
386.1,81,376.0,100.0,101,12,24.3,27,1217,0.4,12.960,27,5.5
388.8,81,376.0,100.0,101,12,20.8,27,1229,0.4,12.960,27,5.1
391.5,81,371.4,100.0,101,12,17.4,27,1148,0.4,12.960,27,3.5
394.2,81,368.0,100.0,101,11,21.0,27,1320,1.8,12.894,27,4.0
396.9,81,365.4,100.0,101,12,18.3,27,1113,0.3,12.885,27,4.3
399.6,81,364.0,100.0,101,9,25.3,27,1037,0.1,12.960,27,5.5
402.3,81,359.4,100.0,101,4,30.6,27,863,0.2,12.960,27,5.1
405.0,81,356.0,100.0,100,2,37.3,27,1213,3.1,12.960,27,7.2
407.7,81,356.0,100.0,100,5,28.8,27,1367,1.6,12.960,27,4.7
410.4,81,352.0,100.0,101,6,17.5,27,1150,0.3,12.914,27,3.9
413.1,81,350.4,100.0,101,5,17.4,27,945,0.4,12.944,27,3.6
415.8,82,344.3,100.0,101,4,16.6,27,1161,0.7,12.938,27,4.2
418.5,82,338.9,100.0,101,2,18.6,27,725,0.4,12.986,28,3.9
421.2,82,336.0,100.0,100,0,38.7,27,919,0.0,12.978,28,6.9
423.9,82,335.8,100.0,101,2,35.4,27,1046,0.0,13.148,28,5.5
426.6,82,326.9,100.0,101,0,33.7,27,867,0.3,13.200,28,5.7
429.3,82,324.0,100.0,101,1,37.0,27,1148,1.1,13.194,28,6.2
432.0,82,324.0,100.0,100,4,26.2,27,1301,0.2,13.055,28,5.5
434.7,82,322.5,100.0,101,4,26.8,27,1035,0.0,12.840,28,5.5
437.4,82,320.0,100.0,101,2,28.8,27,867,0.4,12.880,28,4.4
440.1,82,315.7,100.0,101,1,24.3,27,818,0.4,12.880,28,4.4
442.8,83,311.1,100.0,101,0,22.9,27,707,0.4,12.827,28,3.3
445.5,83,305.7,100.0,101,0,23.4,27,695,0.4,12.944,28,3.7
448.2,83,300.6,100.0,101,0,24.4,27,789,0.0,13.081,28,3.5
450.9,83,296.0,100.0,101,1,25.9,27,927,0.3,13.253,28,4.4
453.6,83,293.0,100.0,101,0,36.2,27,818,0.4,13.520,28,5.9
456.3,83,288.2,100.0,101,0,35.6,27,884,0.2,13.584,28,5.5
459.0,83,284.0,100.0,101,0,36.7,27,878,0.0,13.618,29,5.5
461.7,84,281.1,100.0,101,1,32.9,27,854,0.3,13.336,29,5.1
464.4,84,279.7,100.0,101,0,33.5,27,862,0.2,13.169,29,5.5
467.1,84,274.6,100.0,101,0,34.0,27,899,0.1,13.061,29,5.3
469.8,84,272.0,100.0,101,0,32.1,27,852,0.3,12.580,29,5.4
472.5,84,268.3,100.0,101,0,33.6,27,825,0.0,13.054,29,5.5
475.2,84,264.0,100.0,101,0,34.9,27,825,0.0,13.365,29,5.5
477.9,84,261.9,100.0,101,0,34.3,27,850,0.0,13.518,29,5.5
480.6,84,259.9,100.0,101,0,32.6,27,879,0.2,13.617,29,5.2
483.3,84,254.5,100.0,101,0,32.4,27,865,0.1,13.462,29,5.5
486.0,85,252.0,100.0,101,0,30.7,27,862,0.0,13.206,29,4.3
488.7,85,248.6,100.0,101,0,22.5,27,814,0.3,13.109,29,3.5
491.4,85,246.9,100.0,101,0,24.9,27,742,0.3,12.982,29,3.3
494.1,85,244.0,100.0,101,0,21.8,27,701,0.4,13.247,29,3.1
496.8,85,240.6,100.0,101,0,21.7,27,714,0.4,13.381,30,3.1
499.5,85,236.0,100.0,101,0,24.3,27,680,0.7,13.395,30,3.0
502.2,85,234.2,100.0,101,0,19.6,27,613,0.4,13.293,30,2.4
504.9,85,232.0,100.0,101,0,42.9,27,618,0.3,13.217,30,0.3
507.6,86,228.0,100.0,101,0,17.1,17,137,0.8,12.970,30,8.4
510.3,86,228.0,100.0,101,0,0.0,12,0,1.6,12.880,30,6.3
513.0,86,228.0,100.0,101,0,0.1,12,3,1.6,12.880,30,6.3
515.7,86,227.7,100.0,101,0,0.0,12,0,1.6,12.880,30,6.3
518.4,86,228.0,100.0,101,0,6.3
