BlueDriver Data Log
Jul 30, 2018 5:15:41 PM
Time (s),Engine Coolant Temperature (°C),Catalyst Temperature Bank 1 - Sensor 1 (°C),Fuel Level Input (%),Barometric Pressure (kPa),Vehicle Speed (MPH),Absolute Load Value (%),Ambient Air Temperature (°C),Calculated Engine Load Value (%),Engine RPM (rpm),Relative Throttle Position (%),Control Module Voltage (V),Intake Air Temperature (°C),Absolute Throttle Position (%)
0.0,,,,,,,,,,,,,
3.1,39,0.0,100.0,101,1,44.6,27,48.6,1188,4.8,13.456,27,9.9
6.2,39,0.0,100.0,101,10,57.8,27,65.4,1475,6.6,13.178,27,12.9
9.3,40,0.0,100.0,101,16,60.2,27,69.3,1334,6.3,13.069,27,12.6
12.4,41,0.0,100.0,101,19,47.8,27,56.0,1230,2.9,12.960,27,10.1
15.5,42,0.0,100.0,101,20,29.4,27,36.5,1279,0.2,12.998,27,6.5
18.6,43,0.0,100.0,101,14,27.9,27,33.4,1166,0.4,12.965,27,5.9
21.7,43,0.0,100.0,101,3,36.5,27,44.8,934,0.2,12.910,27,5.9
24.8,44,0.0,100.0,101,2,43.9,27,51.4,1053,5.7,12.962,27,11.0
27.9,44,0.0,100.0,101,12,67.4,27,76.0,1722,13.6,12.960,27,19.7
31.0,45,0.0,100.0,101,20,64.4,27,53.4,1559,2.8,12.960,28,11.7
34.1,46,0.0,100.0,101,21,26.7,27,33.0,1219,0.4,13.040,28,5.9
37.2,47,0.0,100.0,101,20,26.1,27,31.1,1236,0.4,13.040,27,5.9
40.3,48,0.0,100.0,101,17,37.6,27,49.0,1498,3.6,12.880,27,7.1
43.4,49,0.0,100.0,101,17,57.9,27,66.8,1417,7.5,13.020,27,13.2
46.5,49,0.0,100.0,101,20,44.3,27,52.9,1214,3.4,12.960,27,9.1
49.6,50,3.8,100.0,101,19,28.4,27,33.9,1309,0.4,12.960,27,6.3
52.7,51,15.2,100.0,101,16,54.2,27,55.5,1639,4.6,13.027,27,11.6
55.8,52,45.8,100.0,101,19,30.8,27,36.4,1310,1.2,12.960,27,9.9
58.9,52,56.1,100.0,101,19,25.5,27,30.6,1242,0.4,12.960,27,5.6
