BlueDriver Data Log
Aug 15, 2018 7:14:17 AM
Time (s),Engine Coolant Temperature (°C),Catalyst Temperature Bank 1 - Sensor 1 (°C),Fuel Level Input (%),Barometric Pressure (kPa),Vehicle Speed (MPH),Absolute Load Value (%),Ambient Air Temperature (°C),Calculated Engine Load Value (%),Engine RPM (rpm),Relative Throttle Position (%),Control Module Voltage (V),Intake Air Temperature (°C),Absolute Throttle Position (%)
0.0,,,,,,,,,,,,,
3.1,37,48.9,89.4,101,0,25.0,18,29.0,1256,1.6,14.480,19,5.5
6.2,38,54.3,89.4,101,0,24.3,18,28.6,1262,1.6,14.409,19,5.5
9.3,38,60.5,89.4,101,0,24.3,18,28.7,1220,1.6,14.481,19,5.5
12.4,39,67.2,89.4,101,0,24.3,18,28.4,1225,1.6,14.480,19,5.5
15.5,40,73.0,89.4,101,0,24.3,18,28.6,1235,1.6,14.433,19,5.5
18.6,40,79.6,89.4,101,0,24.3,18,28.2,1260,1.6,14.400,19,5.4
21.7,41,84.0,89.4,101,0,19.6,18,23.8,1096,0.5,14.472,19,4.6
24.8,42,88.0,89.4,101,0,19.6,18,23.5,1144,0.4,14.480,19,4.7
27.9,42,91.0,89.4,101,0,23.8,18,30.3,1146,0.4,14.332,19,5.1
31.0,42,96.0,89.4,101,0,26.2,18,35.9,896,0.4,13.683,19,4.9
34.1,43,96.0,89.4,101,0,25.1,18,32.9,804,0.4,13.447,19,4.3
37.2,43,96.0,89.4,101,0,30.0,18,38.4,850,0.4,13.077,19,4.9
40.3,43,101.8,89.4,101,4,41.6,18,47.6,1441,3.8,12.952,19,8.5
43.4,44,117.8,89.4,101,10,45.4,18,53.8,1346,3.8,12.927,19,9.6
46.5,44,129.2,89.4,101,16,47.8,18,56.4,1262,3.8,12.960,19,9.8
49.6,45,144.7,89.4,101,19,41.5,18,49.5,1158,1.6,12.960,19,7.6
52.7,46,150.5,89.4,101,19,23.0,18,25.9,1345,0.4,12.960,19,5.3
55.8,46,156.4,89.8,101,19,21.1,18,24.5,1257,0.4,12.960,19,5.1
58.9,47,162.1,89.8,101,17,21.2,18,25.2,1243,0.4,12.883,19,5.1
62.0,47,164.5,89.8,101,15,21.2,18,25.5,1205,0.4,13.006,19,5.1
65.1,48,168.0,89.8,101,9,22.0,18,26.8,1157,0.4,13.019,19,5.1
68.2,48,172.0,89.8,101,8,23.5,18,28.0,1128,0.4,12.914,19,5.1
71.3,49,172.0,89.8,101,8,23.2,18,28.3,1070,0.4,12.960,19,5.1
74.4,49,178.9,89.8,101,7,43.4,18,58.4,1788,7.0,12.897,19,10.4
77.5,50,194.4,89.8,101,13,55.2,18,62.7,2049,9.3,13.005,19,14.9
80.6,50,218.9,89.4,101,20,55.6,18,64.9,1733,8.9,12.960,19,14.3
83.7,51,236.7,89.4,101,24,46.4,18,53.0,1455,3.9,12.915,19,10.1
86.8,52,243.3,89.4,101,25,31.7,18,36.0,1237,0.7,12.960,19,6.3
89.9,52,242.3,89.4,101,23,22.4,18,25.9,1203,0.4,12.960,19,5.3
