BlueDriver Data Log
Sep 10, 2018 7:02:04 AM
Time (s),Engine Coolant Temperature (°C),Catalyst Temperature Bank 1 - Sensor 1 (°C),Fuel Level Input (%),Barometric Pressure (kPa),Vehicle Speed (MPH),Absolute Load Value (%),Ambient Air Temperature (°C),Calculated Engine Load Value (%),Engine RPM (rpm),Relative Throttle Position (%),Control Module Voltage (V),Intake Air Temperature (°C),Absolute Throttle Position (%)
0.0,,,,,,,,,,,,,
3.1,56,40.0,51.6,101,2,25.6,14,32.8,799,0.4,13.040,15,4.3
6.2,56,45.4,51.4,101,0,28.9,14,47.9,1136,5.9,13.004,15,7.5
9.3,57,66.6,51.1,101,10,61.5,14,70.1,1781,12.5,13.074,15,16.6
12.4,57,95.2,51.0,100,19,71.3,14,81.4,1681,15.6,13.040,15,19.9
15.5,58,133.0,50.6,100,26,73.1,14,84.2,1787,19.5,12.891,15,24.1
18.6,58,165.6,50.2,100,29,65.6,14,76.8,1734,13.5,12.992,14,16.3
21.7,59,188.5,50.2,100,31,59.3,14,55.4,1455,6.6,13.022,14,11.3
24.8,60,206.1,50.3,100,32,47.1,14,57.1,1359,2.8,13.040,14,6.3
27.9,61,217.2,50.7,101,32,25.1,14,31.4,1105,1.4,13.040,14,5.3
31.0,61,222.8,51.0,99,31,37.6,14,44.9,1141,2.1,13.040,14,6.1
34.1,62,231.0,51.3,100,30,29.5,14,37.3,1191,0.1,13.040,14,4.3
37.2,62,227.0,51.5,101,28,18.8,14,22.7,1210,0.4,13.040,14,4.7
40.3,62,222.0,52.0,101,20,19.3,14,23.1,1168,0.4,13.040,14,4.4
43.4,62,216.2,52.8,101,10,27.6,14,26.6,1099,0.4,12.983,15,4.3
46.5,62,214.1,53.1,101,3,28.3,14,35.8,685,0.4,12.968,15,4.4
49.6,62,208.0,53.3,101,0,31.8,14,41.1,664,0.4,12.953,15,4.2
52.7,62,204.0,53.3,101,0,29.2,14,38.1,650,0.4,13.019,15,3.9
55.8,62,200.0,53.3,101,0,28.2,14,35.9,639,0.4,13.058,15,4.1
58.9,63,203.5,53.0,101,4,40.4,14,51.7,1478,7.1,13.378,15,10.7
62.0,63,213.4,52.5,101,12,30.5,14,38.4,1451,7.3,13.558,15,9.2
65.1,63,219.7,52.5,101,15,39.0,14,53.3,1425,7.0,13.760,15,6.3
68.2,63,233.2,52.5,101,18,62.5,14,71.3,1522,10.0,13.760,15,13.7
71.3,64,253.5,52.5,99,24,60.7,14,70.2,1651,11.2,13.794,15,15.2
74.4,65,277.8,52.2,101,28,66.1,14,75.2,1620,13.2,13.841,14,16.4
77.5,65,291.5,52.1,99,31,56.5,14,67.7,1549,9.2,13.760,14,10.2
80.6,66,311.9,51.8,99,33,45.8,14,51.0,1406,7.4,13.782,14,7.6
83.7,67,321.6,51.8,99,34,47.3,14,59.8,1445,2.2,13.780,14,7.1
86.8,67,324.3,52.2,101,34,37.4,14,44.4,1247,3.4,13.728,14,6.9
89.9,68,334.8,51.9,99,34,44.2,14,52.4,1299,4.4,13.760,14,9.4
93.0,68,341.7,51.8,99,35,39.9,14,48.3,1212,3.0,13.699,14,7.2
96.1,68,347.7,51.8,99,35,46.3,14,56.3,1255,4.7,13.813,14,9.0
99.2,69,355.2,51.8,99,35,46.7,14,58.3,1310,5.0,13.756,14,7.4
102.3,69,360.0,51.8,99,35,33.3,14,42.1,1075,1.6,13.760,14,5.6
105.4,69,366.4,51.8,99,35,52.8,14,63.7,1249,7.1,13.760,14,10.6
108.5,70,376.9,51.8,101,36,47.8,14,59.3,1267,7.3,13.748,14,10.5
111.6,70,388.4,51.8,101,37,47.3,14,58.8,1346,8.8,13.609,14,12.3
114.7,70,390.2,51.9,101,36,18.8,14,25.8,1175,0.7,13.760,14,4.3
117.8,71,376.8,52.2,101,33,17.8,14,21.3,1206,0.3,13.656,14,4.3
120.9,71,376.0,52.7,101,31,33.7,14,33.8,1233,1.0,13.440,14,8.8
124.0,71,387.7,52.8,101,32,72.9,14,83.8,1566,16.9,13.269,14,20.6
127.1,71,405.0,52.5,101,35,58.3,14,71.4,1870,18.9,13.040,14,11.0
130.2,71,412.0,52.5,101,35,18.3,14,20.7,1246,3.1,12.936,14,5.9
133.3,72,412.0,52.5,101,34,27.6,14,28.1,1216,0.4,13.116,14,5.0
136.4,72,403.0,52.9,101,31,18.0,14,21.3,1197,0.4,13.040,14,4.3
139.5,72,394.5,52.9,101,27,17.7,14,21.1,1207,0.5,13.040,14,4.3
142.6,72,391.4,52.8,101,26,65.3,14,71.9,1351,8.2,13.093,14,12.2
145.7,72,396.4,52.8,101,27,21.9,14,23.0,1270,0.7,13.013,14,4.5
148.8,72,389.9,52.9,101,25,18.6,14,21.2,1233,0.4,13.036,14,4.9
151.9,72,384.0,52.5,101,22,62.7,14,64.5,1330,9.1,13.067,14,8.7
155.0,72,403.6,52.2,101,25,76.9,14,87.3,1880,26.5,13.053,14,29.5
158.1,72,428.0,51.8,100,31,77.7,14,87.8,2069,27.0,13.040,14,30.5
161.2,72,453.5,51.6,100,36,73.4,14,84.2,2062,18.2,13.070,14,24.7
164.3,73,471.6,51.4,100,41,73.3,14,83.0,1994,21.0,13.040,14,26.1
167.4,74,488.3,51.2,100,43,73.8,14,81.0,1920,11.9,13.040,14,23.7
170.5,75,492.4,51.0,100,46,72.2,13,82.1,1834,19.8,13.107,13,19.8
173.6,75,503.9,50.8,100,48,69.5,12,81.2,1714,17.5,13.050,12,20.4
176.7,75,512.0,50.2,100,48,73.6,12,83.7,1951,23.1,13.040,12,25.2
179.8,76,524.1,50.0,100,50,60.9,12,75.5,1946,21.0,13.040,12,25.9
182.9,76,529.1,50.2,100,50,67.9,12,73.6,1702,21.5,13.040,12,26.2
186.0,77,540.8,50.4,100,50,80.5,12,91.8,2155,31.8,13.040,12,35.9
189.1,78,552.5,50.6,100,52,60.2,12,74.1,1886,22.9,12.998,12,29.7
192.2,78,549.9,51.3,101,51,20.5,12,26.5,1529,2.1,13.028,12,4.3
195.3,78,549.7,51.3,101,48,76.4,12,84.4,1704,21.4,12.900,12,25.1
198.4,78,556.1,50.6,100,49,75.9,12,87.5,2008,24.7,13.040,12,25.2
201.5,79,568.2,50.2,100,50,77.6,12,88.6,2225,27.8,13.040,12,31.3
204.6,79,576.9,49.8,100,52,76.2,12,88.0,2238,27.1,13.040,12,31.7
207.7,81,586.9,49.8,100,53,76.5,12,88.1,2343,26.7,13.040,12,31.5
210.8,81,593.5,49.4,100,55,77.6,12,88.3,2381,29.0,13.040,12,33.3
