BlueDriver Data Log
Sep 11, 2018 6:07:48 PM
Time (s),Engine Coolant Temperature (°C),Catalyst Temperature Bank 1 - Sensor 1 (°C),Fuel Level Input (%),Barometric Pressure (kPa),Vehicle Speed (MPH),Absolute Load Value (%),Ambient Air Temperature (°C),Calculated Engine Load Value (%),Engine RPM (rpm),Relative Throttle Position (%),Control Module Voltage (V),Intake Air Temperature (°C),Absolute Throttle Position (%)
0.0,,,,,,,,,,,,,
3.1,,236.3,91.0,101,7,24.3,25,41.1,1268,3.8,13.054,25,5.1
6.2,69,254.2,91.0,101,14,60.8,25,68.3,2109,15.3,12.960,25,21.7
9.3,69,276.3,91.0,100,22,55.3,25,65.1,1920,14.3,13.090,25,17.9
12.4,70,288.0,91.0,101,26,22.7,25,26.4,1422,0.4,13.040,25,6.8
15.5,70,282.2,91.0,101,22,19.9,25,23.7,1223,0.6,13.040,25,4.6
18.6,70,278.7,91.0,101,13,18.0,25,21.6,1087,0.4,13.040,25,4.3
21.7,70,272.0,91.4,101,6,19.5,25,30.1,918,0.6,12.998,25,4.7
24.8,70,268.6,91.4,101,1,34.8,25,44.3,835,0.4,13.056,25,5.5
27.9,70,266.0,91.4,101,0,32.7,25,42.3,851,0.4,12.980,25,5.5
31.0,70,260.0,91.4,101,0,31.5,25,40.3,846,0.4,13.021,25,5.1
34.1,71,256.5,91.4,101,0,30.1,25,39.4,832,0.4,12.939,25,5.1
37.2,71,253.6,91.4,101,0,29.8,25,38.8,823,0.4,13.034,25,5.1
40.3,71,252.0,91.4,101,0,29.8,25,38.5,821,0.4,12.913,25,4.7
43.4,71,248.0,91.4,101,0,27.7,25,35.9,777,0.4,12.951,25,4.7
46.5,71,242.7,91.8,101,0,20.4,25,26.8,738,0.4,12.822,25,3.3
49.6,71,240.0,91.8,101,0,20.4,25,26.7,681,0.5,12.905,25,3.4
52.7,71,236.0,91.9,101,0,28.9,25,38.6,755,0.8,12.960,26,4.5
55.8,71,236.0,92.2,101,3,41.8,25,58.0,1428,6.2,12.967,26,10.6
58.9,72,248.2,92.2,101,13,63.3,25,71.4,1589,10.3,12.963,26,16.0
62.0,72,266.4,92.2,101,22,73.7,25,81.9,1769,18.6,13.099,26,23.5
65.1,72,292.8,92.2,101,28,70.5,25,80.2,1815,20.0,13.040,26,24.9
68.2,73,321.6,92.2,101,34,68.2,25,76.9,1782,16.1,13.040,25,19.9
71.3,74,340.3,92.2,101,38,54.4,25,65.8,1601,12.3,13.040,25,16.3
74.4,75,354.8,92.2,101,40,40.9,25,58.9,1430,8.0,13.067,25,12.2
77.5,75,363.8,92.2,101,41,49.3,25,58.2,1345,5.9,13.066,25,10.7
80.6,76,355.2,92.2,101,39,34.5,25,43.0,1269,3.6,13.040,25,9.3
83.7,76,359.6,76.2,101,38,25.1,25,27.0,1202,0.8,13.040,25,6.3
86.8,76,360.0,92.2,101,35,22.9,25,18.4,1212,0.8,13.040,25,3.5
89.9,76,355.6,92.2,101,32,16.2,25,18.9,1218,0.4,12.974,25,4.3
93.0,76,348.4,92.2,101,30,26.9,25,36.4,1200,3.0,12.925,25,6.6
96.1,76,366.9,92.5,101,32,79.1,25,84.8,1676,21.3,13.040,25,24.1
99.2,76,393.2,92.5,100,37,77.3,25,86.9,2076,24.1,13.040,25,29.0
102.3,76,419.2,92.5,100,41,76.1,24,87.4,2109,24.7,12.995,24,28.8
105.4,76,446.0,92.3,100,47,75.6,24,86.1,2150,24.3,13.020,24,28.6
108.5,76,463.7,92.2,100,50,74.5,24,85.6,2160,23.1,12.960,24,27.7
111.6,77,483.5,92.2,100,54,74.5,24,85.2,2170,23.8,12.988,24,28.0
114.7,78,499.0,92.2,100,56,74.0,24,84.5,2218,24.1,12.987,24,28.2
117.8,79,516.0,92.2,100,58,74.1,24,84.5,2302,24.2,13.040,24,29.4
120.9,79,532.4,92.2,100,59,75.3,23,86.1,2370,24.9,13.009,23,29.8
124.0,80,543.5,92.2,100,61,75.3,23,86.7,2401,24.7,12.960,23,29.8
127.1,81,554.5,92.2,100,63,75.3,23,86.3,2430,25.2,12.976,23,30.2
130.2,82,564.8,92.2,100,63,74.6,23,85.9,2447,25.5,12.993,23,30.3
133.3,83,573.3,92.2,100,65,74.8,23,85.6,2485,25.9,12.962,23,30.6
