BlueDriver Data Log
Sep 13, 2018 6:51:41 AM
Time (s),Engine Coolant Temperature (°C),Catalyst Temperature Bank 1 - Sensor 1 (°C),Absolute Throttle Position B (%),Evap. System Vapor Pressure (Pa),Fuel Level Input (%),Barometric Pressure (kPa),Vehicle Speed (MPH),Absolute Load Value (%),Ambient Air Temperature (°C),Long Term Fuel Trim Bank 1 (%),Commanded Throttle Actuator (%),Commanded Equivalence Ratio (λ),Timing Advance for #1 cylinder (°),Accelerator Pedal Position E (%),Short Term Fuel Trim Bank 1 (%),Calculated Engine Load Value (%),Accelerator Pedal Position D (%),Engine RPM (rpm),Mass Air Flow Rate (g/s),Relative Throttle Position (%),Control Module Voltage (V),Intake Air Temperature (°C),Commanded Evaporative Purge (%),Absolute Throttle Position (%)
0.0,,,,,,,,,,,,,,,,,,,,,,,,
2.8,46,0.0,4.4,0.0,57.6,101,0,26.7,14,-5.5,4.3,0.999,,,,,,,,,,,,
5.6,47,0.0,4.6,0.0,57.6,101,0,29.1,14,-5.5,4.3,0.999,7.0,0.0,4.5,33.9,0.0,814,3.50,0.4,13.680,14,0.0,4.3
8.4,47,0.0,4.6,0.0,57.6,101,0,29.9,14,-5.5,4.3,0.999,7.0,0.0,7.2,33.5,0.0,821,3.49,0.4,13.680,14,0.0,4.3
11.2,47,0.0,4.3,0.0,57.6,101,0,25.9,14,-5.5,4.3,0.999,7.6,0.0,7.4,33.3,0.0,823,3.49,0.4,13.685,14,0.0,4.3
14.0,47,0.0,4.3,0.0,57.7,101,0,25.9,14,-5.5,4.3,0.999,8.4,0.0,3.8,33.4,0.0,812,3.47,0.4,13.805,14,0.0,4.3
16.8,48,0.0,4.3,0.0,58.0,101,0,26.3,14,-5.5,4.6,0.999,7.5,0.0,3.9,34.3,0.4,822,3.55,0.4,13.819,14,0.0,4.3
19.6,48,0.0,4.5,0.0,57.9,101,0,26.6,14,-5.5,5.1,0.999,5.6,0.0,3.8,37.3,1.8,868,4.00,0.4,13.546,14,0.0,5.0
22.4,49,0.0,5.0,0.0,57.6,101,4,20.4,14,-3.1,5.1,0.999,7.7,0.0,3.7,33.6,3.0,972,5.21,1.2,13.516,14,0.0,5.8
25.2,49,0.0,5.3,0.0,57.6,101,5,19.6,14,-0.1,5.1,0.999,11.8,0.0,3.1,22.7,6.3,1364,10.57,6.8,13.254,14,2.6,8.4
28.0,49,0.0,6.2,0.0,57.6,101,10,23.9,14,0.0,5.3,0.999,12.2,0.0,1.5,23.2,5.0,1375,10.25,6.9,13.192,14,5.9,11.8
30.8,49,0.0,7.5,0.3,57.7,101,11,28.6,14,-0.1,5.5,0.998,12.3,0.0,-2.0,26.7,0.0,1189,4.31,0.4,13.097,14,1.7,12.2
33.6,50,0.0,13.4,2.3,58.3,101,7,47.4,14,0.0,8.7,0.998,13.0,3.8,-2.9,36.6,3.1,1271,6.07,1.3,13.040,14,1.9,12.5
36.4,50,2.4,14.4,2.4,58.4,101,7,49.3,14,-0.1,13.5,0.998,13.8,12.8,-4.4,66.4,13.0,1463,13.80,8.4,13.086,14,10.7,13.7
39.2,51,22.6,17.6,0.0,58.0,101,20,59.8,13,0.9,15.8,0.998,11.7,14.4,-4.3,71.2,14.5,1524,15.02,9.6,13.046,14,26.0,15.3
42.0,51,28.0,18.5,0.3,58.0,101,21,71.1,12,2.2,18.9,0.997,6.5,16.8,-2.9,79.9,16.9,1600,17.71,14.9,13.152,13,24.9,14.7
44.8,53,146.7,17.5,9.9,57.6,99,23,67.0,12,2.1,23.3,0.922,7.5,16.6,-2.9,79.6,17.1,1617,17.99,15.3,13.116,13,26.8,7.9
47.6,54,156.1,18.3,10.5,57.6,99,26,42.9,12,-1.7,41.1,0.311,14.6,6.7,0.2,47.3,6.6,1130,7.32,3.5,13.170,13,28.7,8.1
