BlueDriver Data Log
Sep 19, 2018 6:14:09 PM
Time (s),Engine Coolant Temperature (°C),Catalyst Temperature Bank 1 - Sensor 1 (°C),Absolute Throttle Position B (%),Evap. System Vapor Pressure (Pa),Fuel Level Input (%),Barometric Pressure (kPa),Vehicle Speed (MPH),Absolute Load Value (%),Ambient Air Temperature (°C),Long Term Fuel Trim Bank 1 (%),Commanded Throttle Actuator (%),Commanded Equivalence Ratio (λ),Timing Advance for #1 cylinder (°),Accelerator Pedal Position E (%),Short Term Fuel Trim Bank 1 (%),Calculated Engine Load Value (%),Accelerator Pedal Position D (%),Engine RPM (rpm),Mass Air Flow Rate (g/s),Relative Throttle Position (%),Control Module Voltage (V),Intake Air Temperature (°C),Commanded Evaporative Purge (%),Absolute Throttle Position (%)
0.0,,,,,,,,,,,,,,,,,,,,,,,,
2.8,42,0.0,7.8,1.2,65.9,101,3,38.2,27,-6.6,7.2,0.999,22.1,5.6,10.9,46.7,6.9,1131,7.48,,,,,
5.6,42,0.0,9.0,2.0,65.9,101,7,43.4,27,-0.9,9.3,0.999,17.3,6.2,2.8,46.4,5.5,1208,7.61,1.6,13.367,28,0.0,8.5
8.4,43,0.0,7.7,0.0,65.9,101,11,38.2,27,-0.8,8.5,0.998,18.1,2.4,2.2,39.5,2.4,1330,7.09,0.9,13.165,28,0.0,7.5
11.2,43,0.0,6.3,3.2,65.9,101,11,29.7,27,-0.8,6.9,0.998,15.7,0.0,2.0,32.8,0.0,1355,6.10,0.4,12.960,28,0.0,6.7
14.0,44,0.0,6.3,1.6,65.9,101,10,27.4,27,-0.8,6.5,0.998,16.0,0.0,-0.2,30.5,0.0,1178,5.05,0.5,12.988,28,0.0,6.2
16.8,44,0.0,7.3,0.0,66.0,101,8,31.5,27,-0.8,7.9,0.998,32.9,0.0,-1.3,32.9,0.3,1232,5.53,0.4,13.014,28,0.0,6.6
19.6,45,0.0,8.6,0.2,66.3,101,9,36.1,27,-1.1,9.3,0.997,22.1,2.5,-2.6,33.0,0.2,1335,6.24,0.4,13.004,28,0.0,7.0
22.4,46,0.0,6.3,1.7,66.3,101,10,29.1,27,-0.8,7.4,0.997,15.9,1.9,-1.4,32.2,0.3,1332,6.23,0.3,12.960,28,0.0,6.7
25.2,47,0.0,6.3,0.8,66.1,101,9,25.9,27,-0.8,6.0,0.997,16.6,1.1,0.1,31.4,0.7,1182,5.07,0.0,12.964,28,0.0,6.4
28.0,47,0.0,7.5,0.0,65.9,101,8,28.5,27,-0.8,6.6,0.996,38.5,5.1,-2.9,35.5,5.5,1345,7.37,1.2,12.960,28,3.0,7.7
30.8,47,0.0,9.1,0.0,65.9,100,9,37.6,27,-0.9,9.3,0.996,24.5,6.0,-2.5,40.1,6.0,1350,7.02,1.0,12.960,28,3.0,8.1
33.6,48,0.0,7.1,0.0,65.9,101,12,30.1,27,-0.8,7.4,0.996,15.1,3.4,-1.0,37.8,4.0,1314,6.01,0.4,12.960,28,0.0,6.9
36.4,49,0.0,8.4,0.0,66.3,101,10,32.1,27,-0.8,7.4,0.996,12.1,1.5,0.3,32.2,0.5,1242,4.13,0.4,12.968,28,0.0,5.2
