BlueDriver Data Log
Sep 24, 2018 7:08:48 AM
Time (s),Accelerator Pedal Position E (%),Mass Air Flow Rate (g/s),Intake Air Temperature (°C),Absolute Throttle Position B (%),O2 Bank 1 - Sensor 2 - Oxygen Sensor Voltage (V),Fuel Level Input (%),Ambient Air Temperature (°C),Calculated Engine Load Value (%),Absolute Throttle Position (%),Engine Coolant Temperature (°C),Catalyst Temperature Bank 1 - Sensor 1 (°C),Absolute Load Value (%),Long Term Fuel Trim Bank 1 (%),Commanded Throttle Actuator (%),Wide Range O2S: Bank 1 - Sensor 1 - Equivalence Ratio (λ),Short Term Fuel Trim Bank 1 (%),Relative Throttle Position (%),Commanded Evaporative Purge (%),Evap. System Vapor Pressure (Pa),Barometric Pressure (kPa),Vehicle Speed (km/h),Wide Range O2S: Bank 1 - Sensor 1 - Voltage (V),Commanded Equivalence Ratio (λ),Timing Advance for #1 cylinder (°),O2 Bank 1 - Sensor 2 - Short Term Fuel Trim (%),Accelerator Pedal Position D (%),Engine RPM (rpm),Control Module Voltage (V)
0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.1,2.1,5.99,12,6.7,0.370,87.1,12,31.4,6.8,42,110.9,28.4,-1.6,6.9,0.979,2.8,1.6,2.0,0.0,101,53,2.169,0.996,13.3,99.2,4.2,1243,13.001
30.2,8.2,10.34,14,10.2,0.706,87.4,12,46.3,9.8,44,173.3,40.5,-1.6,9.5,0.993,2.0,3.3,12.2,0.0,101,49,2.123,0.995,22.5,99.2,8.3,1570,12.968
45.3,0.0,5.42,13,5.9,0.718,87.2,12,30.5,6.2,46,232.1,22.8,-1.6,5.6,1.016,-0.3,0.5,0.0,0.0,101,39,2.199,1.005,12.0,99.2,0.0,1262,13.003
60.4,13.7,14.27,13,16.0,0.783,87.5,12,77.5,14.3,48,267.4,61.9,-1.3,14.1,0.999,0.2,8.3,34.6,2.5,101,37,2.164,0.993,8.0,99.2,13.2,1373,13.040
75.5,9.8,11.18,12,7.2,0.786,87.1,12,37.5,7.1,52,345.1,35.3,-1.6,8.6,1.645,1.2,0.7,27.5,6.4,100,56,2.053,0.953,20.0,99.2,11.0,1345,12.980
90.6,7.3,9.95,12,10.5,0.211,87.1,12,41.5,8.9,53,320.1,52.8,-1.6,13.2,0.961,-7.0,8.6,7.3,3.4,101,22,2.497,0.720,-0.6,99.2,9.9,1377,13.003
105.7,7.3,8.39,12,10.1,0.846,87.1,12,46.2,10.7,55,404.7,36.3,-1.2,10.0,1.010,-1.5,1.2,9.2,0.0,100,57,2.120,1.004,37.5,99.2,5.8,1365,13.040
120.8,5.3,7.13,12,6.0,0.509,87.2,12,29.7,5.1,57,408.0,22.4,-1.6,5.2,1.869,0.0,1.1,0.5,0.0,101,48,3.089,0.359,4.8,99.2,4.0,1212,13.434
135.9,26.6,28.53,12,35.9,0.731,87.1,12,91.7,38.4,57,448.6,80.3,0.2,41.1,0.999,-2.0,33.8,87.8,28.3,100,53,2.199,0.993,10.8,99.2,24.6,2335,13.760
151.0,25.8,27.88,12,36.2,0.726,87.1,12,87.9,34.1,61,531.2,76.6,0.8,33.9,1.006,-2.3,30.0,90.4,0.0,100,80,2.188,1.000,11.8,99.2,25.2,2148,13.760
166.1,21.8,22.71,12,31.0,0.717,87.1,12,80.0,32.7,66,572.9,76.3,0.7,31.0,0.994,-1.4,28.0,88.9,0.7,100,84,2.203,1.004,18.5,99.2,19.5,1873,13.779
181.2,23.3,25.51,11,29.2,0.708,87.1,11,82.6,29.1,69,591.4,74.2,0.8,29.0,1.005,-2.0,24.5,71.1,0.0,100,82,2.181,0.996,12.0,99.2,23.4,2110,13.760
196.3,27.5,28.92,11,38.9,0.726,87.1,11,88.6,40.7,72,623.0,75.8,-1.6,40.2,0.997,0.9,35.1,85.8,8.6,100,97,2.160,1.003,14.8,99.2,25.8,2292,13.101
211.4,18.0,20.12,11,18.6,0.748,87.1,11,74.6,19.7,77,624.2,56.6,-2.3,13.1,1.006,-0.3,8.3,26.6,0.0,100,97,2.177,1.000,20.5,99.2,17.3,1888,13.071
226.5,17.6,19.32,11,19.3,0.730,87.1,11,76.8,23.5,78,620.9,66.7,-0.8,24.4,1.009,-0.1,22.1,91.5,0.2,100,94,2.179,0.992,10.5,99.2,23.3,2125,13.760
241.6,12.9,14.06,11,13.1,0.705,87.1,11,44.8,6.7,78,609.6,14.1,-3.9,5.0,1.005,0.3,1.1,0.0,0.0,100,99,2.149,0.998,21.2,99.2,12.2,1852,13.762
256.7,7.0,10.47,11,11.1,0.226,87.1,11,30.0,8.8,78,547.2,14.8,-3.8,4.7,1.999,0.0,0.4,0.0,0.0,101,101,3.642,0.000,-11.7,99.2,0.0,1886,13.675
271.8,22.3,25.85,11,24.0,0.727,87.1,11,74.1,27.3,77,557.6,73.6,-0.9,22.4,1.018,2.2,15.9,93.3,21.3,100,104,2.175,1.003,18.7,99.2,22.6,2036,13.840
286.9,24.2,33.92,11,32.2,0.761,87.1,11,83.4,32.2,78,587.6,72.0,-1.6,31.9,0.999,-0.3,26.7,86.0,7.9,100,110,2.183,0.998,17.0,99.2,24.3,2862,13.760
