BlueDriver Data Log
Sep 24, 2018 5:20:54 PM
Time (s),Accelerator Pedal Position E (%),Mass Air Flow Rate (g/s),Intake Air Temperature (°C),Absolute Throttle Position B (%),O2 Bank 1 - Sensor 2 - Oxygen Sensor Voltage (V),Fuel Level Input (%),Ambient Air Temperature (°C),Calculated Engine Load Value (%),Absolute Throttle Position (%),Engine Coolant Temperature (°C),Catalyst Temperature Bank 1 - Sensor 1 (°C),Absolute Load Value (%),Long Term Fuel Trim Bank 1 (%),Commanded Throttle Actuator (%),Wide Range O2S: Bank 1 - Sensor 1 - Equivalence Ratio (λ),Short Term Fuel Trim Bank 1 (%),Relative Throttle Position (%),Commanded Evaporative Purge (%),Evap. System Vapor Pressure (Pa),Barometric Pressure (kPa),Vehicle Speed (km/h),Wide Range O2S: Bank 1 - Sensor 1 - Voltage (V),Commanded Equivalence Ratio (λ),Timing Advance for #1 cylinder (°),O2 Bank 1 - Sensor 2 - Short Term Fuel Trim (%),Accelerator Pedal Position D (%),Engine RPM (rpm),Control Module Voltage (V)
0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.1,3.2,8.13,24,8.3,0.275,75.3,24,43.6,8.3,32,0.0,31.8,-3.1,7.3,1.001,-2.1,0.6,0.0,0.0,101,22,2.212,0.996,17.3,99.2,3.0,1416,13.177
30.2,18.8,19.76,23,22.1,0.281,74.2,23,82.1,21.7,37,0.0,72.9,-2.3,21.6,1.011,-4.1,18.8,0.0,0.0,101,40,2.231,0.996,9.8,99.2,19.0,1787,12.881
45.3,1.0,4.94,23,5.5,0.280,75.0,23,23.2,5.1,42,0.0,20.5,-3.8,5.9,0.994,-1.3,1.4,0.0,0.0,101,49,2.215,0.996,19.9,99.2,0.0,1385,12.960
60.4,0.0,4.03,23,4.9,0.280,75.9,23,23.1,4.9,44,0.0,19.2,-3.9,5.1,0.998,4.2,0.4,0.0,0.0,101,24,2.199,0.996,12.0,99.2,0.0,1210,12.942
75.5,0.0,3.41,23,4.4,0.287,76.1,23,32.4,4.5,46,0.0,24.8,-7.0,4.6,0.997,7.7,0.4,0.0,0.0,101,0,2.186,0.999,6.5,99.2,0.0,849,12.952
90.6,0.0,3.36,23,4.3,0.285,76.5,23,31.5,4.3,49,0.0,23.8,-7.0,4.3,1.008,7.0,0.4,0.0,0.0,101,0,2.203,0.999,7.5,99.2,0.0,825,12.946
105.7,12.3,13.95,23,13.5,0.299,76.5,23,65.0,14.4,50,0.0,58.5,-3.1,12.3,1.000,-1.4,4.9,15.9,0.0,101,27,2.181,0.996,17.2,99.2,11.2,1508,13.040
120.8,2.4,5.79,23,6.5,0.274,76.6,23,39.0,7.1,54,73.9,29.3,-3.1,6.7,1.009,2.8,0.4,0.0,0.0,101,44,2.439,1.029,20.0,99.2,1.6,1222,12.960
135.9,0.0,4.54,23,5.2,0.351,77.5,23,41.6,5.5,56,104.0,32.2,-7.0,5.5,1.009,4.9,0.4,0.0,0.4,101,0,2.202,0.999,4.1,99.2,0.0,850,12.884
151.0,0.0,3.21,23,3.9,0.791,77.6,23,29.0,4.0,58,116.0,22.0,-7.0,5.5,1.003,4.4,2.4,4.4,5.6,101,4,2.191,1.003,10.4,99.2,0.0,898,12.973
166.1,4.9,5.99,24,7.4,0.768,77.6,23,40.1,8.1,59,145.5,33.6,-3.1,8.3,0.987,-1.0,5.9,40.7,44.7,100,17,2.136,1.013,25.7,99.2,10.5,1701,12.934
181.2,0.0,4.88,24,5.5,0.801,77.5,23,38.7,5.5,61,168.2,29.8,-7.0,5.5,1.016,4.5,0.4,10.1,24.2,101,8,2.207,0.989,26.6,99.2,0.0,970,12.996
196.3,0.0,2.66,24,3.5,0.751,77.6,23,29.0,4.2,62,166.0,26.1,-7.0,4.0,0.990,1.3,0.4,6.6,0.0,101,0,2.202,1.003,8.4,99.2,0.0,713,12.804
211.4,0.3,5.30,24,5.4,0.777,77.6,23,25.9,5.5,63,173.7,22.1,-4.7,5.4,1.002,8.6,2.2,16.5,44.2,101,8,2.065,1.003,26.9,99.2,6.1,1249,12.960
226.5,0.0,3.92,24,4.7,0.754,77.6,23,38.3,4.7,65,167.5,32.5,-7.0,5.5,1.005,0.1,0.4,9.4,3.9,101,0,2.218,0.999,4.0,99.2,0.0,811,12.880
241.6,0.0,2.68,25,3.6,0.763,77.6,23,28.6,3.3,65,160.0,20.1,-7.0,3.4,0.995,11.7,0.4,5.3,0.1,101,0,2.063,1.000,13.4,99.2,0.0,714,12.800
256.7,0.0,3.67,25,4.7,0.736,77.6,23,34.4,4.7,67,153.1,26.6,-7.0,4.2,0.990,7.3,0.4,6.9,0.0,101,3,2.204,0.993,10.7,99.2,0.0,821,12.960
271.8,3.3,5.62,25,5.9,0.766,77.6,23,38.3,5.1,67,152.8,29.9,-6.6,5.0,1.012,3.8,0.4,9.8,2.0,101,2,2.224,0.994,3.7,99.2,4.4,1030,12.904
286.9,1.7,4.19,25,6.2,0.755,77.6,23,49.0,7.7,69,154.0,35.3,-5.3,6.6,0.990,-0.8,1.7,14.4,3.1,101,2,2.220,1.010,2.8,99.2,0.2,800,12.883
302.0,0.0,3.50,26,4.2,0.712,77.7,23,31.2,4.0,69,172.0,24.1,-9.1,3.9,0.983,-2.6,0.4,6.3,0.0,101,3,2.213,1.006,5.3,99.2,0.0,866,12.924
317.1,7.0,6.75,26,7.4,0.757,78.0,23,35.4,6.1,70,169.3,19.5,-4.5,3.7,1.008,6.9,0.5,5.0,0.0,101,0,2.176,0.998,23.6,99.2,7.6,1128,12.960
332.2,0.0,3.48,26,4.3,0.882,78.0,23,21.9,4.0,71,183.3,19.7,-4.7,4.6,1.000,-0.3,0.4,0.7,1.5,101,8,2.181,1.005,7.2,99.2,0.0,1023,12.965
347.3,3.0,4.77,26,5.9,0.745,78.3,23,39.4,5.1,72,176.0,29.1,-5.2,5.1,0.999,3.8,0.4,0.0,0.0,101,0,2.167,0.998,4.7,99.2,0.0,828,12.880
362.4,2.3,6.35,26,7.5,0.757,78.4,23,34.4,6.9,73,180.5,34.6,-0.8,8.9,0.994,-2.4,5.4,0.0,2.9,101,12,2.231,1.006,26.8,99.2,0.5,1340,12.949
377.5,0.0,3.12,26,3.5,0.824,78.4,23,22.0,4.6,74,188.0,23.7,-6.2,4.8,1.001,0.9,0.4,0.4,0.0,101,6,2.066,1.010,28.2,99.2,0.0,1270,12.942
392.6,0.7,2.96,26,3.8,0.793,78.9,23,20.3,4.2,74,196.0,22.8,-0.9,5.9,0.996,-3.3,2.6,0.2,1.3,101,10,2.208,1.012,27.3,99.2,0.3,1194,12.992
407.7,2.0,3.80,26,4.1,0.741,79.2,23,20.9,4.1,75,208.0,17.0,0.3,4.2,0.979,0.0,0.7,0.7,0.0,101,19,2.175,0.999,7.7,99.2,1.2,1110,12.895
422.8,2.8,4.21,26,5.2,0.755,79.5,23,25.4,6.2,75,214.2,23.9,0.0,6.0,1.003,-3.7,1.4,2.6,8.5,101,12,2.209,1.008,35.4,99.2,0.0,1334,12.960
437.9,0.0,4.68,26,5.2,0.738,80.0,23,28.6,5.5,75,212.0,25.0,-0.8,5.5,1.008,-3.9,0.4,0.3,0.0,101,7,2.207,1.004,7.4,99.2,1.6,1123,12.960
453.0,3.1,3.66,26,5.2,0.685,80.0,23,28.7,5.5,75,212.0,21.9,-4.8,4.7,1.012,-2.3,0.8,2.8,2.0,101,6,2.262,1.001,36.6,99.2,2.2,1132,12.899
468.1,0.0,2.93,26,3.6,0.701,80.0,23,20.1,3.5,76,221.8,16.1,-6.2,3.5,0.992,2.4,0.4,2.7,1.7,101,13,2.217,0.997,9.4,99.2,0.5,969,12.880
483.2,18.7,19.01,25,21.9,0.709,79.6,23,80.8,23.5,77,265.2,70.3,0.8,22.3,1.005,-2.2,18.2,77.9,0.0,100,36,2.192,0.996,11.7,99.2,18.5,1690,12.909
498.3,3.5,5.39,24,5.9,0.467,79.6,23,27.6,5.2,79,340.7,20.0,-0.6,5.9,0.924,-3.8,1.7,0.7,1.4,101,52,2.118,0.983,34.5,99.2,8.5,1341,12.960
513.4,0.0,2.79,24,3.5,0.226,79.2,23,15.2,3.5,81,362.8,12.5,-0.8,3.5,1.999,0.0,0.3,0.0,0.0,101,46,3.540,0.108,-12.2,99.2,0.3,1220,12.960
