BlueDriver Data Log
Sep 27, 2018 6:47:51 AM
Time (s),Engine Coolant Temperature (°C),Catalyst Temperature Bank 1 - Sensor 1 (°C),Absolute Throttle Position B (%),Evap. System Vapor Pressure (Pa),Fuel Level Input (%),Barometric Pressure (kPa),Vehicle Speed (km/h),Absolute Load Value (%),Ambient Air Temperature (°C),Long Term Fuel Trim Bank 1 (%),Commanded Throttle Actuator (%),Commanded Equivalence Ratio (λ),Timing Advance for #1 cylinder (°),Accelerator Pedal Position E (%),Short Term Fuel Trim Bank 1 (%),Calculated Engine Load Value (%),Accelerator Pedal Position D (%),Engine RPM (rpm),Mass Air Flow Rate (g/s),Relative Throttle Position (%),Control Module Voltage (V),Intake Air Temperature (°C),Commanded Evaporative Purge (%),Absolute Throttle Position (%)
0.0,,,,,,,,,,,,,,,,,,,,,,,,
3.0,59,400.0,,0.0,87.1,101,,,,,,,,,,54.4,,1356,8.34,,13.836,,,
6.0,60,395.5,,0.0,87.1,101,53,24.2,,-1.6,,0.585,-6.8,,0.0,31.8,,1191,5.67,,13.787,14,0.0,5.9
9.0,60,380.4,,0.0,87.1,101,48,22.4,,-1.6,,0.026,-6.6,,0.0,32.9,,1261,5.52,,13.760,14,0.0,5.2
12.0,60,382.6,,183.8,87.1,101,42,24.4,,-1.6,,0.733,14.0,,0.2,37.5,,1035,6.41,,13.752,14,0.0,6.4
15.0,60,422.6,,875.5,86.8,101,45,42.1,,-1.6,,0.999,25.4,,0.9,79.8,,282,19.32,,13.657,14,25.4,11.5
18.0,60,427.8,,1074.9,86.7,101,51,70.6,,-1.6,,1.002,6.5,,1.2,81.3,,16,21.73,,13.613,14,78.2,23.8
21.0,60,432.9,,430.6,86.8,101,53,75.6,,-1.6,,1.001,9.4,,1.5,84.6,,1970,23.71,,13.600,14,91.1,27.6
24.0,60,442.4,,0.7,87.1,100,67,66.1,,-1.6,,0.996,10.8,,1.8,85.1,,2042,25.02,,13.631,14,76.5,27.2
27.0,61,465.8,,3.8,87.1,100,68,71.9,,-1.6,,0.995,10.3,,2.1,82.8,,1879,21.08,,13.601,14,87.8,23.2
30.0,61,474.8,,3.8,87.1,100,71,72.9,,-1.6,,0.996,11.9,,1.8,83.5,,1928,22.49,,17.279,14,91.8,23.9
33.0,62,488.1,,0.8,87.1,100,75,73.6,,-1.6,,0.998,12.4,,1.2,83.5,,1946,22.91,,13.728,14,91.5,24.6
36.0,64,507.5,,6.5,87.1,100,78,72.2,,-1.6,,0.999,11.7,,3.8,82.8,,1942,22.01,,13.760,14,90.9,27.9
39.0,64,514.9,,7.5,87.1,100,79,51.8,,-1.6,,0.999,15.0,,2.1,77.0,,1810,17.45,,13.760,14,77.2,19.4
42.0,65,519.2,,3.4,87.1,100,79,33.6,,-1.6,,0.611,20.4,,0.7,63.0,,1500,5.48,,13.762,14,41.0,10.6
45.0,66,506.7,,0.0,87.1,100,75,33.2,,-1.6,,0.156,28.8,,4.7,23.5,,1381,5.71,,13.803,14,19.4,5.7
48.0,67,508.0,,0.0,87.1,100,70,55.6,,-1.6,,1.013,22.9,,0.3,26.0,,1316,8.36,,13.818,14,96.2,11.7
51.0,67,508.0,,0.8,87.1,100,68,54.4,,-1.6,,0.997,24.3,,-0.2,38.9,,1284,11.52,,13.761,14,85.6,9.9
54.0,67,507.3,,3.4,87.1,99,67,62.3,,-1.6,,0.998,20.8,,1.5,58.5,,1278,10.93,,13.840,14,90.2,11.7
57.0,67,513.7,,1.3,87.1,99,67,71.0,,-1.6,,1.011,10.5,,0.8,78.7,,1516,15.58,,10.608,14,93.4,18.5
60.0,67,524.2,,0.0,87.1,99,70,75.9,,-1.6,,1.002,10.7,,1.0,81.3,,1801,21.56,,0.779,14,85.7,32.3
63.0,68,541.9,,0.0,87.1,100,71,77.6,,-1.6,,1.002,11.0,,1.5,87.0,,2214,26.80,,5.177,14,89.3,33.7
66.0,68,549.6,34.5,0.0,87.1,100,76,76.8,14,-1.6,34.3,1.002,11.3,25.2,1.6,87.5,25.6,2251,27.68,30.1,13.760,14,86.7,34.2
69.0,69,566.4,35.2,0.0,87.1,100,77,76.8,14,-1.6,35.2,1.002,11.5,25.5,1.6,87.4,25.9,2256,27.45,31.0,13.760,14,63.3,34.4
72.0,69,573.7,34.0,0.0,87.1,100,80,74.8,14,-1.6,34.0,1.003,11.0,25.1,0.3,87.5,25.5,2290,27.22,30.3,13.760,14,0.0,33.5
75.0,70,579.7,34.4,0.0,87.1,100,83,75.6,14,-1.6,34.4,1.002,11.5,25.1,-1.6,87.2,25.5,2302,27.73,30.5,13.792,14,0.0,34.5
78.0,71,587.4,35.9,0.5,87.1,101,86,75.9,12,-1.6,35.8,0.998,11.2,25.3,-1.3,87.6,25.7,2339,28.54,31.3,13.816,14,0.0,35.3
81.0,72,595.6,31.8,1.8,87.1,101,89,74.6,12,-1.6,33.2,0.995,12.3,24.5,-2.4,87.6,25.1,2380,29.47,31.2,13.761,13,49.5,29.8
84.0,72,597.6,22.3,4.7,87.1,100,90,66.0,12,-1.6,22.5,0.994,14.9,19.3,-62.1,61.0,19.3,2147,23.23,9.2,13.771,12,91.8,20.8
