BlueDriver Data Log
Sep 27, 2018 6:31:21 PM
Time (s),Engine Coolant Temperature (°C),Catalyst Temperature Bank 1 - Sensor 1 (°C),Absolute Throttle Position B (%),Evap. System Vapor Pressure (Pa),Fuel Level Input (%),Barometric Pressure (kPa),Vehicle Speed (km/h),Absolute Load Value (%),Ambient Air Temperature (°C),Long Term Fuel Trim Bank 1 (%),Commanded Throttle Actuator (%),Commanded Equivalence Ratio (λ),Timing Advance for #1 cylinder (°),Accelerator Pedal Position E (%),Short Term Fuel Trim Bank 1 (%),Calculated Engine Load Value (%),Accelerator Pedal Position D (%),Engine RPM (rpm),Mass Air Flow Rate (g/s),Relative Throttle Position (%),Control Module Voltage (V),Intake Air Temperature (°C),Commanded Evaporative Purge (%),Absolute Throttle Position (%)
0.0,,,,,,,,,,,,,,,,,,,,,,,,
3.0,47,0.0,26.6,13.3,73.5,100,53,54.7,23,-3.3,23.7,0.997,18.7,20.2,-0.3,77.4,22.2,2597,,,,,,
6.0,48,0.0,20.7,20.3,73.3,100,58,23.6,23,-5.3,7.9,0.999,30.6,8.2,-1.8,41.7,9.4,2025,14.87,10.8,12.960,23,50.5,19.7
9.0,50,0.0,8.8,21.8,73.3,101,50,27.9,23,-2.8,8.2,0.997,26.8,6.1,-2.3,31.6,4.6,1737,6.62,1.0,12.960,23,2.8,7.4
12.0,51,2.8,6.6,8.5,73.1,101,47,24.4,23,-3.3,7.7,0.621,12.7,5.8,-1.8,32.8,4.5,1637,6.28,0.4,12.960,23,4.6,7.7
15.0,52,4.0,5.4,0.0,73.2,101,38,19.2,23,-5.5,5.0,0.000,-6.7,0.0,0.0,20.8,0.5,1329,5.11,2.1,13.019,23,0.0,5.3
18.0,52,4.8,4.7,0.0,73.8,101,24,20.4,23,-5.4,5.5,0.043,-9.5,1.5,0.0,24.9,0.0,1120,3.86,0.4,13.067,23,0.0,4.8
21.0,53,7.8,5.4,0.2,74.5,101,10,25.6,23,-5.5,4.7,0.562,0.4,0.0,-3.9,29.9,0.0,944,3.81,0.4,13.070,23,0.0,5.1
24.0,53,10.6,4.7,0.0,74.7,101,4,24.5,23,-5.5,4.7,0.997,9.8,0.0,-6.8,33.7,0.0,810,3.71,0.4,12.960,23,1.6,5.3
27.0,53,13.7,4.5,0.0,74.9,101,0,26.3,23,-5.5,4.7,0.999,5.1,0.0,0.0,34.1,0.3,829,4.19,1.3,12.960,23,0.0,4.5
