BlueDriver Data Log
Oct 15, 2018 6:36:57 AM
Time (s),Engine Coolant Temperature (°C),Catalyst Temperature Bank 1 - Sensor 1 (°C),Absolute Throttle Position B (%),Evap. System Vapor Pressure (Pa),Fuel Level Input (%),Barometric Pressure (kPa),Vehicle Speed (km/h),Absolute Load Value (%),Ambient Air Temperature (°C),Long Term Fuel Trim Bank 1 (%),Commanded Throttle Actuator (%),Commanded Equivalence Ratio (λ),Timing Advance for #1 cylinder (°),Accelerator Pedal Position E (%),Short Term Fuel Trim Bank 1 (%),Calculated Engine Load Value (%),Accelerator Pedal Position D (%),Engine RPM (rpm),Mass Air Flow Rate (g/s),Relative Throttle Position (%),Control Module Voltage (V),Intake Air Temperature (°C),Commanded Evaporative Purge (%),Absolute Throttle Position (%)
0.0,,,,,,,,,,,,,,,,,,,,,,,,
3.0,79,637.5,32.5,4.8,,,,,,,,,,,,,,,,,,,,
6.0,80,639.4,31.4,8.1,,,102,75.7,8,-1.6,31.7,0.999,12.8,24.9,1.0,87.5,25.4,2502,30.34,28.3,13.043,8,87.5,
9.0,81,640.0,32.4,5.6,100.0,100,105,75.5,8,-1.6,30.1,1.000,12.5,24.0,0.0,88.2,24.4,2478,30.11,26.8,13.069,8,87.5,32.4
12.0,81,640.0,34.2,0.0,100.0,100,106,76.1,8,-1.6,34.1,0.996,13.0,26.2,1.3,87.1,25.8,2527,30.70,28.3,13.058,8,87.2,33.4
15.0,81,639.8,34.6,0.3,100.0,100,106,74.1,8,-1.6,34.1,0.999,13.0,26.0,0.6,86.9,26.1,2550,30.89,27.3,13.040,8,87.0,34.0
18.0,81,636.0,28.6,10.8,100.0,100,107,73.2,8,-1.4,31.0,1.001,13.4,24.3,0.0,85.7,24.6,2483,29.32,17.3,13.040,8,88.4,29.1
21.0,82,636.0,27.8,12.3,100.0,100,107,60.0,8,-0.9,24.5,1.002,14.3,19.8,0.3,81.2,19.7,2166,21.98,14.6,13.040,8,88.6,28.4
24.0,82,634.5,23.0,9.0,100.0,100,108,66.2,8,-1.0,22.5,1.003,14.7,18.8,0.0,80.1,18.6,2102,20.38,11.9,13.040,8,92.1,21.4
27.0,83,632.0,14.8,0.0,100.0,99,108,57.1,8,-2.3,18.2,1.005,20.0,16.9,0.0,73.8,17.0,2075,19.44,11.0,13.040,8,94.7,13.7
30.0,83,626.2,13.9,3.9,100.0,99,110,54.0,8,-2.3,15.9,1.003,23.8,11.2,1.4,57.3,13.8,2069,17.16,10.3,13.040,8,94.0,13.9
33.0,83,620.0,13.0,34.7,100.0,99,113,45.9,8,-2.3,13.9,0.997,30.9,0.0,5.5,18.4,6.4,2103,7.53,4.2,13.040,8,41.7,8.2
36.0,83,613.5,11.2,64.1,100.0,100,114,38.4,8,-2.3,13.5,0.999,28.2,1.7,7.4,18.2,2.7,2134,5.92,2.3,13.040,8,12.2,5.5
39.0,83,604.6,7.3,20.5,100.0,101,115,25.5,8,-2.3,11.8,1.004,30.6,4.0,6.3,26.0,2.9,2178,7.09,2.3,13.040,8,0.3,5.7
42.0,83,600.1,14.3,12.0,100.0,101,117,39.8,8,-2.0,11.1,1.013,34.3,13.8,1.6,58.1,16.3,2267,22.30,18.7,13.040,8,56.3,16.4
45.0,83,596.6,23.7,0.0,100.0,100,120,70.2,8,-0.8,23.7,0.999,23.9,17.3,0.8,70.4,18.4,2313,24.25,19.2,13.040,8,89.2,23.9
48.0,83,600.8,25.7,0.1,100.0,100,120,71.5,8,-0.8,24.3,0.997,15.5,20.5,-0.1,83.3,20.8,2375,27.09,20.4,13.040,8,88.6,25.2
51.0,83,601.8,25.5,0.0,100.0,100,120,72.7,8,-0.8,25.4,0.995,14.0,20.8,-0.8,84.3,20.8,2377,27.68,20.6,12.981,8,88.3,25.6
