BlueDriver Data Log
Oct 29, 2018 5:59:28 PM
Time (s),Engine Coolant Temperature (°C),Catalyst Temperature Bank 1 - Sensor 1 (°C),Absolute Throttle Position B (%),Evap. System Vapor Pressure (Pa),Fuel Level Input (%),Barometric Pressure (kPa),Vehicle Speed (km/h),Absolute Load Value (%),Ambient Air Temperature (°C),Long Term Fuel Trim Bank 1 (%),Commanded Throttle Actuator (%),Commanded Equivalence Ratio (λ),Timing Advance for #1 cylinder (°),Accelerator Pedal Position E (%),Short Term Fuel Trim Bank 1 (%),Calculated Engine Load Value (%),Accelerator Pedal Position D (%),Engine RPM (rpm),Mass Air Flow Rate (g/s),Relative Throttle Position (%),Control Module Voltage (V),Intake Air Temperature (°C),Commanded Evaporative Purge (%),Absolute Throttle Position (%)
0.0,,,,,,,,,,,,,,,,,,,,,,,,
3.0,61,8.0,5.2,0.0,92.2,101,8,25.7,18,-1.6,6.5,0.998,40.5,4.8,1.0,34.4,1.4,1118,,,,,,
6.0,61,8.0,3.7,0.0,92.2,101,8,21.9,18,-1.6,5.9,0.998,42.2,5.0,2.0,28.5,4.2,1296,5.10,1.6,14.320,33,1.3,6.1
9.0,61,8.0,5.9,0.0,92.2,101,10,17.7,18,-2.7,4.8,0.997,28.5,2.1,2.8,22.5,2.5,1199,4.10,1.4,14.116,33,1.9,5.4
12.0,62,8.0,4.7,0.0,92.2,101,9,18.3,18,-3.1,4.9,0.997,28.6,2.0,3.4,21.0,1.5,1107,3.39,0.6,13.736,33,0.0,3.9
15.0,62,8.0,6.2,3.9,92.2,101,9,24.1,18,-2.7,6.3,0.997,41.6,5.9,3.3,27.0,5.7,1362,5.15,1.9,13.560,32,1.5,5.7
18.0,62,8.0,8.4,5.9,92.2,101,11,32.0,17,-1.6,8.5,0.996,37.0,8.9,-2.2,40.6,9.4,1473,8.50,3.6,13.381,32,9.8,8.3
21.0,63,8.0,9.8,0.0,92.2,101,20,30.5,17,-1.6,6.3,0.996,27.5,3.6,0.4,34.1,4.7,1386,7.84,3.2,13.181,32,13.7,9.6
24.0,63,8.0,5.6,0.0,92.4,101,15,25.7,17,-1.6,5.9,0.996,18.1,2.6,3.3,28.4,1.9,1299,5.50,0.8,12.960,32,0.0,5.5
27.0,64,8.0,8.9,0.0,92.4,101,13,26.9,16,-1.6,6.3,0.996,13.7,8.2,5.3,28.1,7.8,1473,7.08,5.0,12.999,30,2.0,8.9
30.0,64,8.0,10.0,0.0,92.3,101,16,35.2,15,-1.6,8.5,0.996,34.6,7.7,0.8,40.2,7.0,1259,6.15,3.0,12.960,30,1.4,7.7
33.0,65,8.0,4.7,0.0,92.5,101,20,19.8,15,-1.6,4.8,0.996,17.0,3.0,2.6,31.3,3.2,1125,4.74,1.2,12.960,30,0.0,4.7
36.0,65,8.0,4.8,0.0,92.5,101,17,22.5,15,-1.6,5.1,0.996,8.1,0.0,2.8,26.8,0.0,1082,3.98,0.4,12.962,30,0.0,4.7
39.0,66,8.0,5.4,0.0,92.5,101,13,25.2,15,-1.6,5.6,0.996,8.4,0.0,0.8,33.4,0.0,1095,5.13,0.4,12.997,30,0.0,5.6
42.0,66,8.0,6.0,0.0,92.5,101,7,27.8,15,-1.8,5.9,0.996,5.8,0.0,0.8,39.9,0.0,855,5.10,0.4,12.809,30,0.0,5.9
45.0,67,8.0,6.1,0.0,92.5,101,0,35.2,15,-3.9,5.1,0.998,0.2,0.0,2.2,38.4,0.0,850,4.48,0.6,12.752,30,0.0,5.6
48.0,67,8.0,4.7,0.0,92.5,101,0,30.0,15,-3.9,4.7,0.998,-1.6,0.0,2.3,36.0,0.0,812,3.68,0.8,12.811,30,0.0,4.7
51.0,68,8.0,4.1,0.0,92.5,101,0,25.9,15,-3.9,4.1,0.998,-0.7,0.0,0.7,33.3,0.0,713,2.98,0.8,12.896,30,0.0,3.6
54.0,68,8.0,3.8,0.0,92.5,101,0,24.6,15,-3.9,3.5,0.998,2.4,0.1,-0.8,31.9,0.0,640,2.64,0.8,12.929,30,0.0,4.0
57.0,68,8.0,4.7,0.0,92.5,101,0,30.6,15,-3.9,4.3,0.998,-0.1,0.0,-1.6,36.4,0.0,664,3.15,0.8,12.960,30,0.0,4.8
60.0,68,8.0,4.7,0.0,92.5,101,0,30.6,15,-3.9,4.7,0.998,0.9,0.0,-1.1,40.4,0.0,733,3.97,0.8,12.968,30,0.0,5.1
63.0,68,8.0,4.9,0.0,92.5,101,0,30.6,15,-3.9,4.8,0.998,5.1,0.0,1.8,39.2,0.0,764,3.87,0.8,13.047,30,0.0,5.1
66.0,68,8.0,4.6,0.0,92.5,101,0,28.4,15,-3.9,5.0,0.998,5.5,0.0,3.1,38.8,0.0,840,4.12,0.8,12.983,30,0.0,4.4
69.0,69,8.0,3.8,0.0,92.5,101,0,21.2,15,-3.9,3.9,0.998,7.9,0.0,-0.4,30.7,0.0,774,3.17,0.8,12.960,30,0.0,3.7
72.0,69,8.0,3.1,0.0,92.5,101,0,20.5,15,-3.9,3.3,0.998,13.5,0.0,-2.0,26.9,0.0,691,2.33,0.8,12.936,30,0.0,3.3
75.0,69,8.0,2.8,0.0,92.5,101,0,19.4,15,-3.9,2.9,0.998,15.9,0.0,-0.9,25.8,0.0,612,2.00,0.8,12.900,30,0.0,2.7
78.0,69,8.0,3.4,0.0,92.5,101,0,22.0,15,-3.9,3.1,0.998,12.3,0.0,0.7,26.6,0.0,557,1.92,0.8,13.047,30,0.0,3.6
81.0,69,8.0,4.0,0.0,92.5,101,0,27.0,15,-3.9,4.0,0.998,2.0,0.0,-3.9,39.2,0.0,653,3.47,0.8,12.876,30,0.0,4.4
84.0,70,8.0,4.6,0.0,92.5,101,0,28.2,15,-3.9,4.7,0.998,7.4,0.0,-1.7,37.9,0.0,697,3.54,0.6,12.907,30,0.0,4.7
87.0,70,8.0,6.3,0.0,92.5,101,1,43.3,15,-2.4,9.0,0.999,16.2,6.5,-0.8,44.0,5.3,1094,6.78,2.5,13.024,30,0.0,5.4
90.0,70,8.0,10.6,0.0,92.5,101,12,47.1,15,-1.6,10.7,0.998,25.8,10.0,-0.3,50.0,11.4,1672,12.36,8.4,12.960,30,0.0,12.9
93.0,70,16.8,9.4,0.0,92.5,101,21,38.1,15,-1.6,8.1,0.996,27.4,0.0,1.6,34.1,0.0,1100,3.90,0.8,12.978,29,0.0,7.9
96.0,70,28.7,4.3,0.0,92.5,101,20,17.3,14,-1.6,4.3,0.996,6.8,0.0,3.9,24.9,0.0,1068,3.42,0.6,12.960,29,0.0,4.4
99.0,70,32.0,4.3,0.0,92.5,101,12,17.8,14,1.1,4.8,0.996,23.7,5.1,1.9,31.1,5.2,1249,6.74,2.5,12.960,29,0.0,5.0
102.0,71,48.0,11.5,0.0,92.5,101,17,43.2,14,1.5,11.0,0.996,27.5,11.7,-1.5,51.4,12.7,1530,13.49,8.6,12.960,29,0.0,12.2
105.0,71,73.7,18.4,0.0,92.5,101,25,65.3,14,0.4,18.6,0.996,9.8,16.6,-2.9,79.2,17.3,1599,17.77,15.6,12.967,28,0.0,19.8
108.0,71,103.0,22.9,0.0,92.5,101,35,70.6,13,-0.8,21.6,0.996,16.2,13.2,1.6,63.6,13.2,1566,15.72,14.8,12.917,28,1.2,22.1
111.0,72,135.8,22.0,0.0,92.5,101,44,71.0,12,-0.3,22.1,0.996,13.8,16.4,1.2,71.7,16.2,1613,16.38,15.8,12.898,28,12.0,21.3
114.0,73,169.6,25.7,1.6,92.5,101,48,71.8,12,-0.3,24.5,0.996,12.2,20.0,1.0,80.2,19.9,1741,19.94,20.8,12.960,27,66.4,25.0
117.0,74,202.5,26.5,7.3,92.5,101,53,70.5,12,-0.8,25.5,0.996,12.8,21.5,1.6,80.6,21.2,1935,22.29,21.9,12.960,26,76.2,25.6
120.0,74,231.0,19.0,9.2,92.4,101,55,60.7,11,-0.9,15.8,0.997,15.5,16.1,1.6,72.7,17.3,1768,18.38,15.3,12.960,26,49.3,17.3
