BlueDriver Data Log
Nov 27, 2018 6:17:37 PM
Time (s),Engine Coolant Temperature (°C),Catalyst Temperature Bank 1 - Sensor 1 (°C),Absolute Throttle Position B (%),Evap. System Vapor Pressure (Pa),Fuel Level Input (%),Barometric Pressure (kPa),Vehicle Speed (km/h),Absolute Load Value (%),Ambient Air Temperature (°C),Long Term Fuel Trim Bank 1 (%),Commanded Throttle Actuator (%),Timing Advance for #1 cylinder (°),Commanded Equivalence Ratio (λ),Accelerator Pedal Position E (%),Short Term Fuel Trim Bank 1 (%),Calculated Engine Load Value (%),Accelerator Pedal Position D (%),Engine RPM (rpm),Mass Air Flow Rate (g/s),Control Module Voltage (V),Relative Throttle Position (%),Intake Air Temperature (°C),Commanded Evaporative Purge (%),Absolute Throttle Position (%)
0.0,,,,,,,,,,,,,,,,,,,,,,,,
3.0,89,14.9,6.1,0.0,41.4,101,3,28.2,3,-4.6,5.7,25.0,0.996,7.1,1.2,38.4,7.2,1120,5.52,14.320,,,,
6.0,89,22.4,5.7,0.0,41.0,101,8,26.0,3,-3.1,6.5,33.3,0.996,6.7,0.2,35.1,5.5,1302,4.77,14.320,1.8,19,0.0,5.1
9.0,89,29.3,4.1,0.0,40.8,101,11,16.0,3,-5.6,4.3,19.5,0.996,3.7,4.5,22.2,1.2,1182,3.74,14.270,1.1,19,0.0,4.1
12.0,88,32.6,3.7,0.0,40.8,101,8,18.4,3,-8.4,4.3,7.0,0.996,6.1,3.7,23.9,4.2,1290,4.52,14.272,2.4,19,0.0,5.5
15.0,88,39.3,11.6,0.0,40.8,101,13,32.4,3,-4.0,8.3,16.1,0.997,9.6,0.2,34.7,9.2,1536,7.64,14.320,5.8,19,0.0,11.0
18.0,87,60.9,6.1,0.0,40.6,101,21,26.5,3,-3.5,8.2,14.9,0.696,8.9,-3.0,40.7,10.0,1676,10.88,14.320,8.5,19,0.0,11.3
21.0,87,70.3,3.7,0.0,40.7,101,22,13.2,3,-7.0,3.5,-8.7,0.148,0.0,-0.2,14.8,0.0,1185,2.80,14.320,0.5,19,0.0,5.8
24.0,87,72.0,3.5,0.0,41.3,101,15,15.3,3,-7.0,3.5,-13.2,1.114,0.4,-2.1,21.6,0.6,801,3.12,13.961,0.4,19,0.0,3.5
27.0,87,68.9,3.5,0.0,42.0,101,0,25.2,3,-8.1,3.5,-10.2,1.079,0.0,-2.7,23.1,0.0,758,3.33,13.570,0.5,19,0.0,3.6
