BlueDriver Data Log
Dec 4, 2018 5:43:21 PM
Time (s),Accelerator Pedal Position E (%),Mass Air Flow Rate (g/s),Intake Air Temperature (°C),O2 Bank 1 - Sensor 2 - Oxygen Sensor Voltage (V),Absolute Throttle Position B (%),Fuel Level Input (%),Ambient Air Temperature (°C),Calculated Engine Load Value (%),Absolute Throttle Position (%),Engine Coolant Temperature (°C),Catalyst Temperature Bank 1 - Sensor 1 (°C),Absolute Load Value (%),Long Term Fuel Trim Bank 1 (%),Commanded Throttle Actuator (%),Wide Range O2S: Bank 1 - Sensor 1 - Equivalence Ratio (λ),Short Term Fuel Trim Bank 1 (%),Relative Throttle Position (%),Commanded Evaporative Purge (%),Evap. System Vapor Pressure (Pa),Barometric Pressure (kPa),Vehicle Speed (km/h),Wide Range O2S: Bank 1 - Sensor 1 - Voltage (V),Timing Advance for #1 cylinder (°),Commanded Equivalence Ratio (λ),O2 Bank 1 - Sensor 2 - Short Term Fuel Trim (%),Engine RPM (rpm),Accelerator Pedal Position D (%),Control Module Voltage (V)
0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.2,0.0,5.17,17,0.279,6.0,82.0,17,48.1,5.9,25,0.0,36.9,-1.6,6.1,0.991,-2.5,0.8,0.0,0.0,101,0,2.183,3.6,0.999,99.2,848,0.0,14.320
34.4,0.0,4.17,17,0.275,5.1,82.0,17,40.0,5.1,28,0.0,31.1,-1.6,5.1,0.999,1.2,0.8,0.0,0.0,101,0,2.185,4.2,0.999,99.2,831,0.0,14.480
51.6,3.3,6.44,17,0.305,7.6,81.6,17,40.0,7.4,31,0.0,27.7,-2.3,6.5,1.005,3.3,0.6,0.0,0.0,101,9,2.175,17.6,0.999,99.2,1167,2.4,14.480
68.8,0.0,6.46,17,0.285,7.4,82.0,17,37.3,7.1,35,0.0,30.2,-2.3,7.2,0.999,2.8,1.5,0.0,0.0,101,16,2.180,4.0,0.997,99.2,1192,0.0,13.185
86.0,3.6,6.30,17,0.291,7.5,82.0,17,35.3,8.7,38,0.0,33.5,-2.3,8.8,1.003,-1.2,0.6,0.0,0.0,101,17,2.185,17.2,0.996,99.2,1405,2.4,12.960
103.2,0.0,4.60,17,0.280,5.5,82.4,17,29.3,5.5,42,0.0,22.8,-2.3,5.5,0.997,0.1,0.4,0.0,0.0,101,11,2.176,9.1,0.996,99.2,1089,0.0,12.923
120.4,13.9,11.25,17,0.305,14.4,82.7,17,63.2,14.7,44,0.0,52.8,-3.1,14.6,1.016,-1.4,8.4,16.1,0.0,101,14,2.150,10.3,0.997,99.2,1328,9.9,12.852
137.6,19.9,21.30,16,0.487,25.0,82.7,16,84.2,25.4,48,21.7,59.9,-1.6,21.3,0.975,0.7,18.6,92.0,14.0,101,56,2.178,8.6,0.996,99.2,1848,21.2,12.922
154.8,4.7,8.30,16,0.248,8.1,82.7,16,34.5,6.3,53,156.7,32.1,-2.4,9.1,1.032,-6.1,3.7,3.5,0.0,101,34,2.524,11.7,0.634,99.2,1537,6.5,12.920
