BlueDriver Data Log
Dec 19, 2018 7:06:55 AM
Time (s),Accelerator Pedal Position E (%),Mass Air Flow Rate (g/s),Intake Air Temperature (°C),O2 Bank 1 - Sensor 2 - Oxygen Sensor Voltage (V),Absolute Throttle Position B (%),Fuel Level Input (%),Ambient Air Temperature (°C),Calculated Engine Load Value (%),Absolute Throttle Position (%),Engine Coolant Temperature (°C),Catalyst Temperature Bank 1 - Sensor 1 (°C),Absolute Load Value (%),Long Term Fuel Trim Bank 1 (%),Commanded Throttle Actuator (%),Wide Range O2S: Bank 1 - Sensor 1 - Equivalence Ratio (λ),Short Term Fuel Trim Bank 1 (%),Relative Throttle Position (%),Commanded Evaporative Purge (%),Evap. System Vapor Pressure (Pa),Barometric Pressure (kPa),Vehicle Speed (km/h),Wide Range O2S: Bank 1 - Sensor 1 - Voltage (V),Timing Advance for #1 cylinder (°),Commanded Equivalence Ratio (λ),O2 Bank 1 - Sensor 2 - Short Term Fuel Trim (%),Engine RPM (rpm),Accelerator Pedal Position D (%),Control Module Voltage (V)
0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17.2,0.0,4.53,8,0.278,5.3,81.6,8,42.0,5.7,17,0.0,34.0,-8.6,5.8,0.994,9.9,0.4,0.0,0.0,102,2,2.206,7.4,0.999,99.2,840,0.0,14.387
34.4,1.9,6.14,8,0.277,6.7,81.8,8,31.2,6.1,20,0.0,27.8,-3.8,6.3,1.008,-0.7,0.7,0.0,0.0,102,9,2.209,15.5,0.998,99.2,1217,0.8,13.710
51.6,15.5,20.56,7,0.312,18.4,81.6,7,73.3,19.2,25,0.0,65.8,0.8,19.4,0.997,0.7,11.8,0.0,0.0,102,47,2.181,21.6,0.996,99.2,1933,15.3,13.760
68.8,0.0,6.06,7,0.310,6.6,81.6,6,31.1,6.5,32,0.0,27.2,-1.6,6.3,0.993,1.6,0.4,0.0,0.3,102,47,2.187,14.6,0.996,99.2,1287,0.0,13.030
86.0,12.3,14.61,7,0.489,14.1,82.0,6,60.4,7.9,38,113.7,35.6,-1.6,7.9,0.994,2.5,2.5,9.3,17.8,102,18,2.203,21.8,1.001,99.2,1652,12.2,12.974
103.2,9.7,9.89,6,0.841,10.7,82.3,6,59.3,10.7,43,268.5,51.8,-1.6,11.6,0.992,-0.3,6.5,31.3,50.4,102,60,2.196,20.5,1.009,99.2,1334,9.2,12.960
120.4,2.0,5.85,6,0.720,5.8,82.2,6,29.9,5.9,45,309.4,28.0,-1.6,5.5,1.003,3.8,0.4,0.0,0.0,102,53,2.193,17.6,0.992,99.2,1324,0.7,12.970
137.6,0.0,4.82,6,0.736,5.3,83.5,6,42.6,5.5,47,302.9,33.5,-8.6,5.5,1.021,7.5,0.4,0.0,0.0,102,2,2.197,3.1,0.997,99.2,849,0.0,13.009
154.8,10.1,13.16,6,0.770,17.4,82.7,6,74.2,20.5,49,337.0,71.5,-0.8,21.1,1.000,5.4,16.3,93.8,5.7,101,44,2.187,8.6,0.994,99.2,1626,16.2,13.003
